ID, gill attachment, gill spacing, gill size, gill color
122,f,c,b,g
123,f,c,n,p
124,f,w,b,k
125,f,c,b,g
126,f,w,b,n
127,f,c,b,w
128,f,w,b,h
129,f,c,b,n
130,f,c,b,n
131,f,c,b,w
132,f,c,b,w
133,f,w,n,w
134,f,c,b,g
135,f,w,n,p
136,f,c,n,w
137,f,w,n,w
138,f,c,b,n
139,f,c,n,p
140,f,c,b,w
141,f,c,b,w
142,f,c,b,g
143,f,c,n,k
144,f,c,b,w
145,f,c,b,k
146,f,w,b,k
147,f,w,b,k
148,f,c,b,w
149,f,c,b,k
150,f,c,b,g
151,f,c,b,w
152,f,w,b,p
153,f,c,b,g
154,f,c,n,k
155,f,w,n,w
156,f,c,b,w
157,f,c,b,k
158,f,c,b,k
159,f,c,b,n
160,f,c,b,g
161,f,c,b,g
162,f,c,b,n
163,f,c,n,k
164,f,c,b,n
165,f,c,b,k
166,f,c,b,w
167,f,c,b,w
168,f,c,b,w
169,f,c,b,w
170,f,c,b,k
171,f,c,n,g
172,f,c,b,k
173,f,w,n,n
174,f,c,b,w
175,f,c,b,p
176,f,c,b,w
177,f,c,b,k
178,f,c,b,g
179,f,c,b,g
180,f,c,b,g
181,f,c,n,p
182,f,c,n,g
183,f,c,n,g
184,f,c,b,g
185,f,c,b,p
186,f,c,n,k
187,f,c,b,g
188,f,c,n,p
189,f,c,b,g
190,f,c,b,w
191,f,w,b,p
192,f,w,n,w
193,f,c,b,w
194,f,w,n,w
195,f,c,b,k
196,f,c,n,g
197,f,c,b,n
198,f,c,b,g
199,f,c,b,n
200,f,w,n,n
201,f,c,b,w
202,f,c,b,w
203,f,c,b,g
204,f,w,b,h
205,f,c,b,n
206,f,c,n,k
207,f,c,b,n
208,f,c,b,k
209,f,c,b,n
210,f,c,b,w
211,f,c,b,w
212,f,c,b,w
213,f,w,n,n
214,f,c,n,n
215,f,c,b,n
216,f,c,b,n
217,f,c,b,g
218,f,c,b,k
219,f,c,b,w
220,f,c,n,p
221,f,c,b,n
222,f,c,n,k
223,f,c,b,n
224,f,w,n,p
225,f,c,b,g
226,f,c,b,n
227,f,c,b,g
228,f,c,b,g
229,f,c,n,p
230,f,c,b,n
231,f,c,n,n
232,f,c,n,k
233,f,c,b,n
234,f,c,n,k
235,f,c,b,k
236,f,w,n,w
237,f,c,b,w
238,f,c,b,n
239,f,c,b,n
240,f,c,b,p
241,f,c,b,w
242,f,c,b,w
243,f,c,b,w
244,f,c,n,n
245,f,w,n,p
246,f,c,b,w
247,f,w,n,p
248,f,c,b,n
249,f,c,b,w
250,f,w,b,p
251,f,c,b,w
252,f,c,n,p
253,f,c,n,g
254,f,c,b,w
255,f,c,b,n
256,f,c,b,k
257,f,c,n,k
258,f,c,b,w
259,f,c,b,g
260,f,c,b,g
261,f,c,b,w
262,f,c,n,k
263,f,c,b,n
264,f,c,b,n
265,f,w,n,w
266,f,c,n,g
267,f,w,b,p
268,f,c,b,g
269,f,c,b,k
270,f,c,n,w
271,f,c,b,n
272,f,c,n,w
273,f,c,b,k
274,f,c,b,k
275,f,c,b,n
276,f,c,b,w
277,f,c,b,w
278,f,c,b,w
279,f,w,b,h
280,f,c,b,k
281,f,c,n,w
282,f,c,b,n
283,f,c,n,p
284,f,c,b,k
285,f,c,b,n
286,f,c,b,n
287,f,c,b,g
288,f,c,b,g
289,f,c,b,n
290,f,c,n,p
291,f,c,n,g
292,f,c,b,n
293,f,c,b,n
294,f,c,b,k
295,f,c,b,g
296,f,c,b,g
297,f,c,b,k
298,f,w,b,p
299,f,w,n,p
300,f,c,n,p
301,f,w,b,k
302,f,c,b,w
303,f,w,n,w
304,f,c,b,n
305,f,c,b,g
306,f,c,b,p
307,f,c,b,k
308,f,c,b,g
309,f,c,b,p
310,f,w,b,n
311,f,c,b,w
312,f,c,n,n
313,f,c,b,n
314,f,w,n,p
315,f,c,b,g
316,f,c,n,k
317,f,w,n,w
318,f,c,b,k
319,f,w,n,n
320,f,w,n,w
321,f,c,b,k
322,f,w,n,w
323,f,c,b,w
324,f,c,b,n
325,f,c,b,p
326,f,c,b,k
327,f,c,b,n
328,f,c,n,n
329,f,c,b,w
330,f,c,b,g
331,f,c,n,w
332,f,c,b,n
333,f,c,b,w
334,f,c,b,n
335,f,c,b,g
336,f,c,b,p
337,f,c,b,w
338,f,c,b,n
339,f,c,n,g
340,f,c,b,n
341,f,c,b,k
342,f,c,b,n
343,f,c,b,g
344,f,w,n,p
345,f,c,b,g
346,f,w,b,n
347,f,w,n,n
348,f,c,b,n
349,f,w,b,n
350,f,c,n,g
351,f,w,b,h
352,f,c,b,p
353,f,c,b,k
354,f,c,b,k
355,f,c,b,w
356,f,c,n,g
357,f,c,b,p
358,f,c,n,k
359,f,c,b,p
360,f,c,b,w
361,f,w,b,h
362,f,w,b,p
363,f,w,b,k
364,f,c,b,n
365,f,c,b,w
366,f,c,n,p
367,f,c,b,w
368,f,w,n,p
369,f,c,b,g
370,f,w,b,n
371,f,c,b,w
372,f,c,b,n
373,f,c,b,w
374,f,c,n,n
375,f,c,b,k
376,f,c,b,n
377,f,c,n,k
378,f,c,b,n
379,f,c,b,k
380,f,c,b,k
381,f,c,n,p
382,f,w,b,k
383,f,c,b,w
384,f,c,b,g
385,f,c,b,n
386,f,c,n,w
387,f,c,b,w
388,f,w,b,n
389,f,c,b,n
390,f,c,b,w
391,f,c,b,n
392,f,c,b,g
393,f,c,b,n
394,f,c,n,k
395,f,c,b,w
396,f,w,b,h
397,f,c,b,k
398,f,c,b,w
399,f,c,n,n
400,f,c,n,p
401,f,c,b,w
402,f,c,b,n
403,f,c,n,p
404,f,c,b,w
405,f,c,b,k
406,f,c,b,n
407,f,c,b,n
408,f,c,b,g
409,f,c,b,g
410,f,c,b,w
411,f,c,b,w
412,f,w,b,n
413,f,c,b,n
414,f,c,b,n
415,f,c,n,k
416,f,c,b,w
417,f,w,n,p
418,f,c,n,w
419,f,c,b,k
420,f,w,b,h
421,f,c,b,n
422,f,c,b,w
423,f,c,n,p
424,f,c,b,w
425,f,c,b,n
426,f,w,n,n
427,f,c,b,n
428,f,c,b,k
429,f,w,b,p
430,f,c,n,n
431,f,c,b,g
432,f,c,b,n
433,f,c,b,g
434,f,c,b,w
435,f,w,n,n
436,f,c,b,w
437,f,w,n,n
438,f,c,b,g
439,f,c,b,k
440,f,c,b,p
441,f,c,b,n
442,f,c,b,g
443,f,c,b,p
444,f,c,b,n
445,f,c,b,w
446,f,c,b,p
447,f,c,b,n
448,f,c,b,n
449,f,c,b,w
450,f,c,b,n
451,f,c,b,k
452,f,c,b,g
453,f,c,b,g
454,f,w,n,p
455,f,c,b,g
456,f,w,b,h
457,f,c,b,k
458,f,c,b,w
459,f,c,b,n
460,f,c,b,w
461,f,c,b,k
462,f,c,b,n
463,f,c,b,g
464,f,c,b,w
465,f,c,n,k
466,f,c,b,p
467,f,c,b,g
468,f,c,b,g
469,f,c,b,g
470,f,c,b,w
471,f,c,b,g
472,f,c,b,w
473,f,w,n,n
474,f,c,n,k
475,f,w,n,n
476,f,c,n,k
477,f,c,n,p
478,f,c,b,w
479,f,w,n,p
480,f,c,b,n
481,f,c,b,k
482,f,c,b,g
483,f,w,n,p
484,f,c,n,g
485,f,w,n,w
486,f,c,b,p
487,f,c,b,w
488,f,c,n,p
489,f,c,b,n
490,f,c,b,n
491,f,w,n,n
492,f,c,n,p
493,f,c,n,k
494,f,c,b,w
495,f,c,b,w
496,f,c,b,k
497,f,w,b,h
498,f,c,b,p
499,f,c,b,n
500,f,c,b,w
501,f,c,b,w
502,f,c,b,g
503,f,c,b,g
504,f,c,b,w
505,f,c,b,w
506,f,c,n,n
507,f,w,b,p
508,f,w,b,p
509,f,w,n,n
510,f,c,n,p
511,f,c,n,k
512,f,c,b,k
513,f,w,n,n
514,f,c,n,n
515,f,c,n,k
516,f,w,b,h
517,f,c,b,n
518,f,c,b,k
519,f,c,b,k
520,f,c,b,k
521,f,c,b,w
522,f,c,b,n
523,f,c,b,p
524,f,c,n,n
525,f,c,n,n
526,f,c,b,w
527,f,c,b,w
528,f,c,b,k
529,f,c,n,k
530,f,c,b,w
531,f,c,b,n
532,f,c,b,n
533,f,c,n,n
534,f,c,b,w
535,f,c,n,k
536,f,w,b,k
537,f,c,b,k
538,f,c,n,p
539,f,c,b,g
540,f,w,n,p
541,f,c,b,n
542,f,w,b,p
543,f,c,n,n
544,f,c,b,p
545,f,w,b,n
546,f,c,b,w
547,f,c,b,g
548,f,c,n,g
549,f,w,n,p
550,f,c,b,g
551,f,c,n,n
552,f,w,b,h
553,f,c,b,p
554,f,w,n,p
555,f,c,b,k
556,f,c,b,p
557,f,c,n,k
558,f,w,n,w
559,f,c,b,w
560,f,c,b,g
561,f,c,b,g
562,f,w,n,w
563,f,w,n,n
564,f,w,b,n
565,f,c,b,w
566,f,c,n,w
567,f,c,b,g
568,f,w,b,k
569,f,c,n,n
570,f,c,b,w
571,f,c,b,k
572,f,w,n,n
573,f,c,b,k
574,f,c,b,w
575,f,c,b,w
576,f,c,b,w
577,f,c,n,p
578,f,c,b,n
579,f,c,b,w
580,f,c,n,w
581,f,c,b,g
582,f,c,b,w
583,f,c,b,k
584,f,c,b,n
585,f,c,b,w
586,f,c,b,k
587,f,c,n,g
588,f,c,n,n
589,f,c,n,n
590,f,c,b,n
591,f,c,n,k
592,f,w,b,h
593,f,c,b,g
594,f,c,n,k
595,f,c,b,g
596,f,c,n,p
597,f,c,b,n
598,f,c,b,g
599,f,c,n,p
600,f,c,n,n
601,f,w,b,n
602,f,c,b,w
603,f,w,b,k
604,f,c,b,n
605,f,c,b,w
606,f,c,b,n
607,f,w,b,n
608,f,c,b,n
609,f,c,b,w
610,f,c,n,n
611,f,w,b,h
612,f,w,b,n
613,f,w,b,p
614,f,c,n,k
615,f,c,b,p
616,f,c,b,g
617,f,w,b,p
618,f,c,b,g
619,f,c,b,n
620,f,c,n,n
621,f,c,b,p
622,f,c,b,w
623,f,w,n,n
624,f,c,b,n
625,f,c,n,p
626,f,c,b,g
627,f,w,n,w
628,f,c,n,p
629,f,c,b,g
630,f,c,b,k
631,f,w,b,n
632,f,c,b,k
633,f,c,b,n
634,f,c,b,n
635,f,c,b,p
636,f,c,b,w
637,f,c,b,p
638,f,c,b,n
639,f,w,b,h
640,f,c,b,g
641,f,c,b,w
642,f,c,b,n
643,f,c,b,w
644,f,c,b,w
645,f,c,b,n
646,f,w,n,n
647,f,c,b,g
648,f,c,b,k
649,f,c,b,n
650,f,w,n,p
651,f,c,b,n
652,f,c,b,n
653,f,c,b,w
654,f,c,n,w
655,f,c,n,w
656,f,c,b,g
657,f,w,b,k
658,f,c,b,g
659,f,c,b,w
660,f,c,n,k
661,f,c,b,n
662,f,c,b,k
663,f,c,n,n
664,f,c,n,k
665,f,c,b,g
666,f,c,b,w
667,f,c,b,w
668,f,c,b,p
669,f,c,b,n
670,f,c,b,w
671,f,c,b,k
672,f,c,n,p
673,f,w,b,p
674,f,w,n,w
675,f,c,b,w
676,f,c,n,g
677,f,c,n,k
678,f,c,b,n
679,f,c,b,w
680,f,c,b,g
681,f,w,n,n
682,f,c,b,n
683,f,w,n,w
684,f,c,b,w
685,f,c,b,p
686,f,c,b,g
687,f,c,n,k
688,f,c,b,n
689,f,c,b,w
690,f,c,b,k
691,f,c,b,w
692,f,c,b,k
693,f,c,b,p
694,f,w,b,k
695,f,c,n,p
696,f,c,b,n
697,f,c,b,w
698,f,c,n,w
699,f,c,n,p
700,f,w,b,n
701,f,c,n,w
702,f,w,b,h
703,f,c,b,n
704,f,c,b,k
705,f,c,b,p
706,f,c,b,p
707,f,c,b,k
708,f,c,n,p
709,f,c,b,k
710,f,c,b,g
711,f,c,b,w
712,f,w,b,p
713,f,c,b,w
714,f,c,b,w
715,f,c,b,k
716,f,c,b,n
717,f,c,b,k
718,f,c,b,n
719,f,c,b,n
720,f,c,n,g
721,f,c,b,n
722,f,c,b,k
723,f,w,n,w
724,f,w,b,p
725,f,c,b,n
726,f,c,n,k
727,f,c,b,w
728,f,w,b,h
729,f,c,b,n
730,f,c,b,w
731,f,c,b,w
732,f,w,b,n
733,f,c,n,k
734,f,c,n,p
735,f,c,b,g
736,f,c,b,w
737,f,w,n,w
738,f,c,n,w
739,f,c,b,g
740,f,c,n,p
741,f,c,n,p
742,f,c,b,n
743,f,c,b,p
744,f,c,b,k
745,f,c,b,n
746,f,c,b,n
747,f,c,b,w
748,f,c,b,w
749,f,c,n,w
750,f,w,n,n
751,f,c,b,n
752,f,c,b,k
753,f,w,n,n
754,f,c,b,w
755,f,c,b,k
756,f,c,b,n
757,f,c,b,n
758,f,w,b,n
759,f,c,b,w
760,f,c,b,n
761,f,c,b,g
762,f,c,b,p
763,f,c,b,g
764,f,c,n,g
765,f,c,b,w
766,f,w,b,k
767,f,w,n,p
768,f,c,n,g
769,f,c,b,g
770,f,c,b,k
771,f,c,b,w
772,f,c,b,k
773,f,c,b,k
774,f,w,n,p
775,f,w,b,h
776,f,c,b,p
777,f,c,n,k
778,f,c,b,p
779,f,c,b,n
780,f,c,b,w
781,f,c,b,w
782,f,c,n,g
783,f,c,b,w
784,f,c,b,n
785,f,c,b,w
786,f,c,n,w
787,f,c,n,n
788,f,c,b,w
789,f,c,n,k
790,f,c,b,p
791,f,c,b,k
792,f,c,b,p
793,f,c,b,k
794,f,c,b,n
795,f,c,n,p
796,f,c,n,n
797,f,c,b,n
798,f,w,b,h
799,f,c,n,k
800,f,c,b,w
801,f,c,b,n
802,f,c,b,w
803,f,c,n,n
804,f,c,b,w
805,f,c,b,k
806,f,c,b,w
807,f,c,b,k
808,f,c,b,p
809,f,c,b,n
810,f,w,n,p
811,f,c,b,g
812,f,c,b,n
813,f,c,n,p
814,f,c,n,w
815,f,c,n,k
816,f,c,b,n
817,f,c,b,p
818,f,c,b,n
819,f,w,n,w
820,f,c,b,k
821,f,c,b,w
822,f,c,n,k
823,f,c,b,n
824,f,c,b,g
825,f,c,b,w
826,f,c,b,w
827,f,w,n,n
828,f,w,n,w
829,f,c,b,g
830,f,w,n,p
831,f,c,n,p
832,f,w,n,w
833,f,c,b,p
834,f,c,b,w
835,f,c,b,p
836,f,c,n,k
837,f,c,b,n
838,f,c,n,p
839,f,c,b,w
840,f,c,b,w
841,f,w,n,w
842,f,c,n,w
843,f,c,b,n
844,f,c,n,n
845,f,c,b,g
846,f,w,b,k
847,f,c,b,n
848,f,c,b,g
849,f,c,b,k
850,f,w,n,w
851,f,c,b,k
852,f,c,b,p
853,f,c,n,g
854,f,w,b,p
855,f,c,n,n
856,f,c,b,p
857,f,w,n,n
858,f,c,b,n
859,f,c,b,k
860,f,c,n,p
861,f,c,b,w
862,f,c,b,w
863,f,c,b,p
864,f,c,b,g
865,f,c,b,w
866,f,c,b,k
867,f,c,n,n
868,f,c,b,p
869,f,c,n,p
870,f,c,b,k
871,f,c,b,p
872,f,c,b,w
873,f,c,b,k
874,f,c,b,n
875,f,c,b,n
876,f,c,b,p
877,f,c,b,k
878,f,c,b,k
879,f,c,b,w
880,f,c,b,n
881,f,w,n,w
882,f,w,b,n
883,f,c,b,w
884,f,c,b,n
885,f,c,b,n
886,f,w,n,p
887,f,c,b,n
888,f,c,b,n
889,f,c,b,w
890,f,c,b,g
891,f,c,b,u
892,f,c,b,p
893,f,c,b,n
894,f,c,b,g
895,f,c,b,k
896,f,c,b,p
897,f,c,b,k
898,f,c,b,k
899,f,c,b,k
900,f,c,b,n
901,f,c,b,n
902,f,w,b,n
903,f,w,b,p
904,f,w,b,h
905,f,c,b,w
906,f,w,b,p
907,f,c,n,n
908,f,w,b,p
909,f,c,n,p
910,f,c,n,w
911,f,c,b,k
912,f,w,b,p
913,f,c,b,g
914,f,w,b,n
915,f,w,b,k
916,f,c,b,k
917,f,c,b,n
918,f,c,b,n
919,f,w,b,k
920,f,w,b,h
921,f,w,b,p
922,f,w,b,p
923,f,c,b,n
924,f,w,n,w
925,f,w,b,k
926,f,w,b,h
927,f,w,b,k
928,f,c,n,w
929,f,c,n,k
930,f,c,b,n
931,f,w,b,h
932,f,w,b,n
933,f,c,n,n
934,f,c,b,k
935,f,c,n,n
936,f,w,b,p
937,f,c,b,w
938,f,w,b,p
939,f,w,b,n
940,f,c,b,u
941,f,c,b,n
942,f,w,b,n
943,f,c,n,w
944,f,w,b,p
945,f,c,b,n
946,f,w,b,h
947,f,w,b,n
948,f,c,b,w
949,f,w,b,n
950,f,c,n,w
951,f,c,n,w
952,f,c,b,n
953,f,w,b,h
954,f,w,b,n
955,f,w,b,h
956,f,c,b,k
957,f,c,n,w
958,f,c,b,n
959,f,w,n,n
960,f,c,b,k
961,f,w,b,n
962,f,w,b,h
963,f,c,b,n
964,f,c,b,n
965,f,w,b,k
966,f,w,b,n
967,f,c,n,w
968,f,c,b,n
969,f,w,b,k
970,f,w,b,k
971,f,w,b,n
972,f,c,b,n
973,f,c,b,n
974,f,w,b,n
975,f,c,b,u
976,f,w,b,p
977,f,c,b,n
978,f,c,b,n
979,f,c,b,k
980,f,w,b,p
981,f,c,b,u
982,f,c,b,g
983,f,w,b,h
984,f,w,b,k
985,f,c,n,n
986,f,w,b,n
987,f,w,b,n
988,f,w,b,n
989,f,w,b,k
990,f,c,b,n
991,f,c,b,n
992,f,w,b,p
993,f,w,b,p
994,f,c,n,n
995,f,w,b,k
996,f,w,b,n
997,f,c,b,n
998,f,w,n,w
999,f,c,b,w
1000,f,c,n,p
1001,f,c,b,n
1002,f,c,b,p
1003,f,w,b,k
1004,f,c,n,w
1005,f,c,b,p
1006,f,w,b,p
1007,f,w,b,k
1008,f,w,b,p
1009,f,w,b,k
1010,f,c,b,k
1011,f,c,b,g
1012,f,w,b,k
1013,f,c,b,p
1014,f,w,b,n
1015,f,w,b,h
1016,f,w,n,p
1017,f,c,b,n
1018,f,c,b,p
1019,f,c,n,w
1020,f,c,b,n
1021,f,w,b,n
1022,f,c,b,w
1023,f,c,b,k
1024,f,c,b,w
1025,f,c,n,n
1026,f,c,n,p
1027,f,c,n,n
1028,f,w,n,w
1029,f,c,b,k
1030,f,w,b,k
1031,f,c,b,u
1032,f,c,n,n
1033,f,w,b,p
1034,f,w,b,p
1035,f,w,b,p
1036,f,w,b,p
1037,f,c,b,k
1038,f,w,n,n
1039,f,c,n,k
1040,f,c,n,p
1041,f,c,b,w
1042,f,c,b,n
1043,f,w,b,h
1044,f,c,b,u
1045,f,w,b,h
1046,f,c,b,w
1047,f,w,b,h
1048,f,c,n,n
1049,f,c,b,p
1050,f,w,b,k
1051,f,c,b,w
1052,f,c,b,u
1053,f,w,b,p
1054,f,c,b,w
1055,f,w,b,k
1056,f,c,b,k
1057,f,w,n,p
1058,f,w,b,k
1059,f,c,b,w
1060,f,w,b,h
1061,f,w,b,h
1062,f,w,n,n
1063,f,w,b,k
1064,f,w,b,n
1065,f,c,n,k
1066,f,w,n,p
1067,f,c,b,k
1068,f,w,b,p
1069,f,c,b,u
1070,f,c,b,n
1071,f,w,b,h
1072,f,c,n,k
1073,f,c,b,k
1074,f,c,b,p
1075,f,c,b,p
1076,f,w,b,k
1077,f,c,n,p
1078,f,c,n,n
1079,f,w,b,k
1080,f,c,b,p
1081,f,w,b,h
1082,f,c,n,k
1083,f,c,b,k
1084,f,w,b,n
1085,f,c,b,w
1086,f,w,b,p
1087,f,c,b,n
1088,f,c,b,w
1089,f,c,n,n
1090,f,c,b,w
1091,f,c,n,n
1092,f,c,b,n
1093,f,w,b,n
1094,f,w,n,n
1095,f,w,b,p
1096,f,c,n,n
1097,f,w,b,p
1098,f,w,b,h
1099,f,w,b,h
1100,f,c,n,n
1101,f,w,b,k
1102,f,w,b,k
1103,f,w,b,h
1104,f,c,n,w
1105,f,w,b,n
1106,f,w,b,n
1107,f,c,n,n
1108,f,w,b,k
1109,f,c,b,k
1110,f,w,b,h
1111,f,w,b,k
1112,f,c,n,n
1113,f,c,b,w
1114,f,w,b,k
1115,f,c,b,p
1116,f,w,b,p
1117,f,w,b,n
1118,f,w,b,h
1119,f,w,b,k
1120,f,w,b,h
1121,f,w,b,p
1122,f,w,b,k
1123,f,w,b,p
1124,f,c,b,p
1125,f,w,n,p
1126,f,w,b,p
1127,f,w,b,p
1128,f,c,b,k
1129,f,w,b,h
1130,f,w,b,k
1131,f,c,n,p
1132,f,w,b,n
1133,f,c,n,p
1134,f,w,b,k
1135,f,c,b,g
1136,f,w,b,h
1137,f,c,b,n
1138,f,c,b,w
1139,f,w,b,h
1140,f,w,b,n
1141,f,w,b,n
1142,f,c,b,p
1143,f,w,b,h
1144,f,w,b,k
1145,f,w,b,n
1146,f,w,b,n
1147,f,w,b,k
1148,f,w,b,n
1149,f,w,b,h
1150,f,w,b,h
1151,f,w,b,p
1152,f,c,b,n
1153,f,c,n,k
1154,f,w,b,h
1155,f,c,n,n
1156,f,c,b,k
1157,f,w,b,n
1158,f,w,b,h
1159,f,w,b,n
1160,f,w,b,h
1161,f,c,b,g
1162,f,w,b,n
1163,f,c,b,p
1164,f,c,b,p
1165,f,w,b,k
1166,f,c,b,w
1167,f,c,n,k
1168,f,c,b,p
1169,f,w,b,n
1170,f,c,b,g
1171,f,w,b,n
1172,f,c,b,u
1173,f,w,b,p
1174,f,c,n,g
1175,f,c,n,g
1176,f,c,n,p
1177,f,c,b,g
1178,f,c,n,g
1179,f,w,b,k
1180,f,c,b,w
1181,f,c,b,p
1182,f,c,b,p
1183,f,w,b,h
1184,f,c,b,n
1185,f,c,b,n
1186,f,w,b,n
1187,f,w,b,h
1188,f,c,n,p
1189,f,c,b,n
1190,f,w,b,p
1191,f,w,b,p
1192,f,c,b,w
1193,f,c,b,p
1194,f,c,b,p
1195,f,c,b,g
1196,f,c,n,k
1197,f,w,b,k
1198,f,c,b,n
1199,f,c,b,k
1200,f,c,b,k
1201,f,c,b,w
1202,f,c,b,g
1203,f,c,b,w
1204,f,w,b,k
1205,f,c,n,n
1206,f,w,b,h
1207,f,w,b,h
1208,f,c,n,p
1209,f,w,b,h
1210,f,w,b,p
1211,f,w,b,p
1212,f,w,b,p
1213,f,c,b,n
1214,f,w,b,n
1215,f,w,b,n
1216,f,c,n,k
1217,f,w,b,p
1218,f,w,b,p
1219,f,w,b,h
1220,f,w,b,k
1221,f,c,b,n
1222,f,w,b,k
1223,f,w,b,k
1224,f,w,b,h
1225,f,w,b,p
1226,f,w,b,k
1227,f,c,b,w
1228,f,w,b,p
1229,f,c,n,p
1230,f,c,b,w
1231,f,w,b,n
1232,f,c,n,w
1233,f,w,b,k
1234,f,w,b,p
1235,f,w,b,h
1236,f,w,b,p
1237,f,w,b,p
1238,f,w,b,h
1239,f,w,b,h
1240,f,w,b,h
1241,f,c,n,p
1242,f,w,b,k
1243,f,c,n,p
1244,f,c,n,w
1245,f,w,b,k
1246,f,w,b,k
1247,f,w,b,h
1248,f,w,b,k
1249,f,w,b,n
1250,f,w,b,k
1251,f,c,b,n
1252,f,c,b,n
1253,f,w,b,k
1254,f,c,n,p
1255,f,c,n,k
1256,f,w,b,p
1257,f,c,n,k
1258,f,w,b,h
1259,f,w,b,h
1260,f,c,n,w
1261,f,c,n,p
1262,f,c,n,w
1263,f,c,n,k
1264,f,w,b,k
1265,f,c,b,p
1266,f,w,b,k
1267,f,w,b,p
1268,f,c,n,k
1269,f,w,b,k
1270,f,c,b,n
1271,f,w,b,n
1272,f,w,b,n
1273,f,c,n,p
1274,f,w,b,k
1275,f,w,b,h
1276,f,c,n,k
1277,f,w,b,p
1278,f,w,b,n
1279,f,w,b,h
1280,f,w,b,h
1281,f,c,b,w
1282,f,w,b,n
1283,f,w,b,n
1284,f,w,b,n
1285,f,w,b,n
1286,f,w,b,h
1287,f,c,n,n
1288,f,w,b,h
1289,f,c,b,p
1290,f,w,b,n
1291,f,c,b,n
1292,f,w,b,p
1293,f,w,b,n
1294,f,c,n,k
1295,f,c,n,p
1296,f,w,b,k
1297,f,c,b,u
1298,f,w,b,k
1299,f,c,b,w
1300,f,w,b,n
1301,f,w,b,p
1302,f,w,b,k
1303,f,w,b,h
1304,f,c,b,n
1305,f,w,b,k
1306,f,w,b,h
1307,f,w,b,p
1308,f,w,b,k
1309,f,w,b,h
1310,f,w,b,p
1311,f,w,b,n
1312,f,w,b,p
1313,f,c,n,k
1314,f,w,b,n
1315,f,c,b,k
1316,f,w,b,k
1317,f,w,b,k
1318,f,c,b,n
1319,f,c,b,n
1320,f,w,b,p
1321,f,c,b,n
1322,f,c,n,n
1323,f,w,b,n
1324,f,c,n,k
1325,f,w,b,k
1326,f,w,b,n
1327,f,c,b,g
1328,f,w,b,k
1329,f,w,b,k
1330,f,w,b,k
1331,f,w,b,k
1332,f,w,b,n
1333,f,c,n,k
1334,f,w,b,p
1335,f,w,b,h
1336,f,c,b,n
1337,f,w,b,p
1338,f,c,b,u
1339,f,c,b,n
1340,f,w,b,k
1341,f,w,b,n
1342,f,w,b,h
1343,f,c,n,w
1344,f,c,b,n
1345,f,w,b,n
1346,f,w,b,h
1347,f,c,n,k
1348,f,w,b,p
1349,f,c,b,p
1350,f,c,b,u
1351,f,c,b,p
1352,f,w,b,k
1353,f,w,b,h
1354,f,w,b,k
1355,f,w,b,p
1356,f,w,b,h
1357,f,w,b,n
1358,f,w,b,p
1359,f,w,b,n
