ID, spore print color, population, habitat, edible or poisonous, bruises, odor
95,n,a,g,e,f,n
96,n,s,g,e,t,a
97,n,s,g,e,t,l
98,k,n,g,e,t,a
99,n,s,g,e,t,a
100,k,s,g,e,t,a
101,k,s,g,e,f,n
102,k,n,g,e,t,l
103,n,s,g,e,t,l
104,k,y,p,e,t,a
105,n,n,g,e,t,l
106,k,n,m,e,t,a
107,n,y,g,e,t,a
108,k,s,m,e,t,l
109,n,s,m,e,t,a
110,k,n,m,e,t,a
111,k,n,g,e,t,l
112,k,y,u,e,f,n
113,u,v,d,e,t,a
114,k,n,m,e,t,a
115,n,v,u,p,t,p
116,n,s,g,e,t,l
117,n,y,u,e,f,n
118,k,y,g,e,t,l
119,u,v,d,e,t,l
120,n,y,u,e,f,n
121,k,v,g,p,t,p
122,n,n,m,e,t,a
123,k,v,g,p,t,p
124,n,a,g,e,f,n
125,n,s,m,e,t,l
126,k,s,g,e,f,n
127,n,n,g,e,t,a
128,n,a,g,e,f,n
129,k,n,g,e,t,l
130,n,s,m,e,t,l
131,n,s,g,e,t,l
132,n,s,m,e,t,l
133,u,v,d,e,t,l
134,k,s,m,e,t,l
135,n,v,d,e,t,a
136,n,v,u,p,t,p
137,n,v,d,e,t,l
138,n,s,g,e,t,a
139,n,v,g,p,t,p
140,n,n,g,e,t,l
141,k,y,p,e,t,a
142,k,n,m,e,t,l
143,n,v,u,e,f,n
144,k,y,p,e,t,a
145,k,n,g,e,t,a
146,k,s,g,e,f,n
147,n,a,g,e,f,n
148,n,n,m,e,t,l
149,k,n,g,e,t,l
150,k,n,m,e,t,a
151,n,s,g,e,t,a
152,n,a,g,e,f,n
153,n,s,g,e,t,l
154,k,v,u,e,f,n
155,u,v,d,e,t,a
156,k,s,g,e,t,l
157,n,n,g,e,t,a
158,n,n,g,e,t,a
159,k,s,m,e,t,a
160,k,s,g,e,t,a
161,k,s,m,e,t,l
162,k,n,g,e,t,a
163,n,y,u,e,f,n
164,n,y,g,e,t,l
165,n,s,g,e,t,a
166,n,y,p,e,t,l
167,n,s,g,e,t,a
168,k,s,m,e,t,a
169,k,y,g,e,t,l
170,k,s,g,e,t,a
171,n,y,u,e,f,n
172,n,s,g,e,t,l
173,u,v,d,e,t,l
174,k,s,g,e,t,a
175,n,s,g,e,t,l
176,k,n,m,e,t,l
177,k,n,m,e,t,a
178,n,s,g,e,t,a
179,n,n,m,e,t,l
180,n,n,g,e,t,l
181,n,v,u,p,t,p
182,n,y,u,e,f,n
183,k,v,u,e,f,n
184,n,s,m,e,t,a
185,k,s,p,e,t,a
186,k,s,g,p,t,p
187,n,s,m,e,t,l
188,k,v,u,e,f,n
189,n,n,g,e,t,l
190,n,y,p,e,t,a
191,k,s,g,e,f,n
192,n,v,d,e,t,l
193,n,s,m,e,t,l
194,n,v,d,e,t,a
195,n,n,m,e,t,a
196,n,y,u,e,f,n
197,k,s,g,e,t,a
198,n,n,m,e,t,l
199,n,s,m,e,t,l
200,n,v,d,e,t,a
201,n,s,g,e,t,l
202,k,s,g,e,t,l
203,k,n,g,e,t,a
204,k,s,g,e,f,n
205,k,y,p,e,t,l
206,n,v,u,p,t,p
207,n,n,g,e,t,a
208,k,s,m,e,t,a
209,n,n,g,e,t,l
210,k,n,g,e,t,a
211,k,s,g,e,t,a
212,k,n,m,e,t,l
213,n,v,d,e,t,a
214,n,y,u,e,f,n
215,n,s,g,e,t,a
216,k,n,m,e,t,l
217,k,s,g,e,t,a
218,k,s,g,e,t,a
219,n,s,g,e,t,l
220,n,v,u,e,f,n
221,n,n,m,e,t,a
222,k,s,g,p,t,p
223,n,s,g,e,t,a
224,n,v,d,e,t,a
225,k,n,m,e,t,l
226,k,s,g,e,t,l
227,n,n,g,e,t,a
228,n,s,g,e,t,a
229,k,v,u,p,t,p
230,n,n,g,e,t,a
231,k,y,u,e,f,n
232,k,s,u,p,t,p
233,n,y,p,e,t,l
234,k,v,u,e,f,n
235,n,n,g,e,t,l
236,n,v,d,e,t,l
237,k,s,g,e,t,l
238,n,s,g,e,t,l
239,k,s,g,e,t,l
240,k,s,p,e,t,a
241,k,y,p,e,t,a
242,k,s,g,e,t,l
243,n,n,m,e,t,a
244,k,v,u,p,t,p
245,u,v,d,e,t,a
246,n,s,g,e,t,l
247,u,v,d,e,t,l
248,k,s,m,e,t,a
249,k,y,p,e,t,l
250,k,s,g,e,f,n
251,n,y,g,e,t,a
252,n,s,g,p,t,p
253,n,v,u,e,f,n
254,n,s,m,e,t,l
255,n,s,g,e,t,l
256,n,n,m,e,t,l
257,n,v,u,e,f,n
258,k,n,m,e,t,a
259,k,n,g,e,t,l
260,n,n,m,e,t,a
261,n,s,g,e,t,l
262,k,v,g,p,t,p
263,n,n,g,e,t,a
264,n,s,m,e,t,a
265,u,v,d,e,t,l
266,k,v,u,e,f,n
267,k,a,g,e,f,n
268,n,s,m,e,t,a
269,n,s,m,e,t,a
270,k,s,u,p,t,p
271,k,n,m,e,t,l
272,k,v,u,p,t,p
273,n,s,g,e,t,l
274,n,n,m,e,t,a
275,n,s,p,e,t,a
276,n,s,p,e,t,a
277,n,y,g,e,t,a
278,n,n,m,e,t,a
279,k,s,g,e,f,n
280,n,n,m,e,t,l
281,n,s,g,p,t,p
282,n,n,m,e,t,a
283,n,v,u,e,f,n
284,k,s,m,e,t,l
285,k,n,m,e,t,l
286,k,s,g,e,t,a
287,k,s,m,e,t,a
288,k,s,g,e,t,a
289,n,y,p,e,t,l
290,n,y,u,e,f,n
291,k,y,u,e,f,n
292,k,s,g,e,t,l
293,k,s,m,e,t,l
294,n,s,g,e,t,l
295,k,s,m,e,t,a
296,n,n,m,e,t,a
297,k,s,m,e,t,a
298,k,s,g,e,f,n
299,n,v,d,e,t,a
300,k,s,g,p,t,p
301,k,a,g,e,f,n
302,k,s,g,e,t,a
303,n,v,d,e,t,l
304,k,s,g,e,t,a
305,k,s,g,e,t,l
306,n,y,d,e,t,n
307,n,s,m,e,t,l
308,n,n,m,e,t,l
309,k,y,g,e,t,a
310,n,s,g,e,f,n
311,k,s,g,e,t,l
312,n,v,g,p,t,p
313,k,s,g,e,t,l
314,n,v,d,e,t,a
315,n,n,g,e,t,a
316,k,v,u,p,t,p
317,n,v,d,e,t,a
318,k,n,m,e,t,a
319,n,v,d,e,t,l
320,n,v,d,e,t,l
321,n,s,m,e,t,l
322,u,v,d,e,t,a
323,k,s,g,e,t,a
324,k,s,m,e,t,a
325,n,s,p,e,t,l
326,k,n,g,e,t,l
327,n,s,m,e,t,a
328,n,v,u,p,t,p
329,k,n,g,e,t,l
330,k,n,g,e,t,a
331,k,v,u,p,t,p
332,k,s,m,e,t,l
333,n,n,m,e,t,l
334,k,s,g,e,t,a
335,n,n,g,e,t,l
336,k,y,d,e,t,n
337,k,y,g,e,t,a
338,n,s,g,e,t,l
339,n,v,u,e,f,n
340,k,y,g,e,t,l
341,n,s,g,e,t,a
342,k,n,g,e,t,a
343,k,s,m,e,t,a
344,n,v,d,e,t,a
345,n,s,g,e,t,l
346,n,a,g,e,f,n
347,n,v,d,e,t,l
348,n,n,m,e,t,a
349,k,s,g,e,f,n
350,n,y,u,e,f,n
351,n,a,g,e,f,n
352,n,s,p,e,t,a
353,n,s,g,e,t,a
354,k,s,m,e,t,a
355,k,s,p,e,t,l
356,n,v,u,e,f,n
357,n,y,p,e,t,a
358,k,s,u,p,t,p
359,n,y,p,e,t,a
360,n,s,g,e,t,a
361,n,s,g,e,f,n
362,k,a,g,e,f,n
363,k,a,g,e,f,n
364,n,s,p,e,t,a
365,k,n,g,e,t,a
366,k,v,u,e,f,n
367,n,s,p,e,t,a
368,u,v,d,e,t,a
369,n,n,g,e,t,a
370,k,s,g,e,f,n
371,n,s,g,e,t,a
372,k,y,g,e,t,l
373,k,s,m,e,t,a
374,n,y,u,e,f,n
375,k,s,m,e,t,a
376,k,n,g,e,t,l
377,k,y,u,e,f,n
378,n,n,m,e,t,l
379,n,n,g,e,t,l
380,n,s,g,e,t,a
381,k,s,u,p,t,p
382,n,s,g,e,f,n
383,k,s,m,e,t,a
384,n,n,g,e,t,a
385,n,y,d,e,t,n
386,n,s,u,p,t,p
387,k,y,p,e,t,l
388,k,a,g,e,f,n
389,k,n,m,e,t,l
390,n,n,m,e,t,a
391,n,s,m,e,t,a
392,k,n,m,e,t,l
393,n,n,g,e,t,a
394,n,v,u,e,f,n
395,k,s,g,e,t,a
396,n,a,g,e,f,n
397,n,n,m,e,t,l
398,n,s,m,e,t,l
399,k,v,u,e,f,n
400,n,s,u,p,t,p
401,n,n,g,e,t,l
402,k,n,m,e,t,a
403,n,v,u,p,t,p
404,n,s,m,e,t,l
405,n,s,m,e,t,l
406,k,s,m,e,t,l
407,n,n,g,e,t,l
408,n,s,m,e,t,a
409,k,s,g,e,t,a
410,n,y,p,e,t,l
411,n,s,m,e,t,a
412,k,s,g,e,f,n
413,n,s,p,e,t,l
414,k,y,g,e,t,l
415,k,v,g,p,t,p
416,n,n,g,e,t,a
417,u,v,d,e,t,l
418,k,s,u,p,t,p
419,k,n,g,e,t,l
420,n,a,g,e,f,n
421,k,s,g,e,t,l
422,n,s,m,e,t,a
423,n,s,u,p,t,p
424,k,s,g,e,t,l
425,n,n,m,e,t,l
426,n,v,d,e,t,a
427,n,y,p,e,t,a
428,n,n,m,e,t,a
429,k,a,g,e,f,n
430,n,v,u,e,f,n
431,n,s,g,e,t,a
432,n,y,g,e,t,l
433,n,s,g,e,t,l
434,k,s,g,e,t,l
435,n,v,d,e,t,l
436,k,n,m,e,t,a
437,u,v,d,e,t,a
438,n,n,m,e,t,l
439,n,n,m,e,t,l
440,n,y,p,e,t,a
441,k,s,m,e,t,l
442,k,s,m,e,t,l
443,k,y,p,e,t,a
444,k,n,m,e,t,l
445,k,n,m,e,t,l
446,k,s,g,e,t,l
447,n,n,g,e,t,l
448,k,s,g,e,t,l
449,k,s,m,e,t,l
450,n,y,d,e,t,n
451,n,s,m,e,t,l
452,k,n,g,e,t,l
453,k,n,m,e,t,l
454,n,v,d,e,t,l
455,n,n,m,e,t,l
456,k,a,g,e,f,n
457,n,n,g,e,t,a
458,k,s,m,e,t,l
459,k,y,p,e,t,a
460,n,y,p,e,t,a
461,n,s,m,e,t,a
462,n,s,g,e,t,l
463,k,s,g,e,t,a
464,n,n,m,e,t,a
465,k,v,u,e,f,n
466,n,y,g,e,t,a
467,k,n,m,e,t,a
468,k,n,g,e,t,l
469,k,n,g,e,t,l
470,n,s,p,e,t,a
471,k,n,g,e,t,l
472,k,n,m,e,t,a
473,u,v,d,e,t,a
474,k,y,u,e,f,n
475,n,v,d,e,t,l
476,k,y,u,e,f,n
477,n,y,u,e,f,n
478,n,n,g,e,t,a
479,n,v,d,e,t,a
480,k,s,m,e,t,l
481,k,s,m,e,t,a
482,k,s,g,e,t,l
483,u,v,d,e,t,l
484,k,y,u,e,f,n
485,n,v,d,e,t,a
486,k,y,g,e,t,a
487,n,s,m,e,t,l
488,n,y,u,e,f,n
489,k,s,p,e,t,l
490,k,s,p,e,t,a
491,u,v,d,e,t,a
492,n,s,g,p,t,p
493,n,v,u,p,t,p
494,n,s,p,e,t,l
495,k,s,g,e,t,a
496,n,n,m,e,t,a
497,n,a,g,e,f,n
498,n,s,g,e,t,a
499,n,s,g,e,t,a
500,k,n,m,e,t,l
501,n,n,g,e,t,a
502,k,n,g,e,t,a
503,k,n,m,e,t,l
504,k,s,m,e,t,a
505,n,s,g,e,t,a
506,n,v,g,p,t,p
507,n,s,g,e,f,n
508,n,a,g,e,f,n
509,n,v,d,e,t,a
510,n,v,u,e,f,n
511,n,y,u,e,f,n
512,k,s,g,e,t,a
513,u,v,d,e,t,a
514,n,v,u,e,f,n
515,n,v,u,e,f,n
516,n,a,g,e,f,n
517,k,y,p,e,t,l
518,k,n,g,e,t,a
519,k,s,g,e,t,l
520,n,n,g,e,t,a
521,k,n,m,e,t,l
522,k,s,g,e,t,l
523,n,y,p,e,t,a
524,n,s,u,p,t,p
525,k,y,u,e,f,n
526,n,s,g,e,t,l
527,n,s,p,e,t,a
528,n,s,m,e,t,a
529,k,y,u,e,f,n
530,n,y,p,e,t,a
531,n,y,p,e,t,a
532,k,s,g,e,t,a
533,k,s,g,p,t,p
534,k,y,p,e,t,l
535,k,s,g,p,t,p
536,k,s,g,e,f,n
537,k,s,m,e,t,a
538,k,v,u,e,f,n
539,n,s,m,e,t,l
540,u,v,d,e,t,a
541,k,s,m,e,t,a
542,k,s,g,e,f,n
543,n,s,g,p,t,p
544,k,s,g,e,t,a
545,k,a,g,e,f,n
546,k,s,m,e,t,a
547,n,s,m,e,t,l
548,n,v,u,e,f,n
549,u,v,d,e,t,l
550,n,n,m,e,t,a
551,n,y,u,e,f,n
552,n,s,g,e,f,n
553,k,s,p,e,t,l
554,n,v,d,e,t,l
555,k,s,g,e,t,l
556,k,y,p,e,t,a
557,k,v,u,p,t,p
558,u,v,d,e,t,l
559,k,n,g,e,t,l
560,n,n,m,e,t,a
561,n,s,g,e,t,a
562,u,v,d,e,t,a
563,u,v,d,e,t,a
564,k,s,g,e,f,n
565,n,s,m,e,t,a
566,k,v,g,p,t,p
567,n,n,g,e,t,a
568,k,s,g,e,f,n
569,n,s,g,p,t,p
570,k,n,m,e,t,a
571,k,n,m,e,t,a
572,n,v,d,e,t,l
573,k,n,g,e,t,a
574,k,n,g,e,t,l
575,n,y,g,e,t,a
576,n,s,g,e,t,l
577,n,v,u,e,f,n
578,n,s,g,e,t,l
579,n,y,g,e,t,l
580,n,s,g,p,t,p
581,n,n,m,e,t,a
582,n,s,m,e,t,a
583,k,n,g,e,t,l
584,n,y,g,e,t,a
585,k,s,g,e,t,a
586,n,s,m,e,t,a
587,k,v,u,e,f,n
588,k,y,u,e,f,n
589,k,v,u,e,f,n
590,k,n,m,e,t,a
591,k,s,u,p,t,p
592,k,s,g,e,f,n
593,k,s,g,e,t,l
594,n,s,g,p,t,p
595,k,n,m,e,t,a
596,k,v,u,p,t,p
597,k,n,m,e,t,l
598,k,s,m,e,t,l
599,n,s,g,p,t,p
600,k,s,u,p,t,p
601,n,a,g,e,f,n
602,n,y,g,e,t,l
603,n,a,g,e,f,n
604,n,s,p,e,t,l
605,k,s,m,e,t,l
606,k,n,g,e,t,a
607,n,s,g,e,f,n
608,k,y,g,e,t,a
609,k,s,m,e,t,l
610,k,v,u,e,f,n
611,n,a,g,e,f,n
612,n,s,g,e,f,n
613,k,a,g,e,f,n
614,n,s,u,p,t,p
615,k,s,g,e,t,l
616,k,s,g,e,t,l
617,k,a,g,e,f,n
618,k,s,g,e,t,l
619,n,n,m,e,t,a
620,n,y,u,e,f,n
621,k,s,g,e,t,l
622,n,n,g,e,t,l
623,u,v,d,e,t,l
624,k,s,p,e,t,a
625,k,y,u,e,f,n
626,k,s,m,e,t,l
627,u,v,d,e,t,l
628,k,y,u,e,f,n
629,n,s,g,e,t,a
630,k,n,g,e,t,a
631,n,s,g,e,f,n
632,k,n,m,e,t,a
633,k,v,d,e,t,n
634,k,s,g,e,t,l
635,n,s,g,e,t,a
636,n,s,m,e,t,a
637,k,s,g,e,t,a
638,k,n,m,e,t,l
639,k,s,g,e,f,n
640,k,s,m,e,t,a
641,k,n,m,e,t,l
642,n,y,g,e,t,a
643,k,s,p,e,t,l
644,k,y,g,e,t,a
645,k,s,p,e,t,l
646,u,v,d,e,t,l
647,k,s,m,e,t,a
648,k,n,m,e,t,l
649,k,s,g,e,t,a
650,u,v,d,e,t,l
651,k,s,g,e,t,a
652,n,n,m,e,t,l
653,k,y,g,e,t,a
654,k,s,g,p,t,p
655,k,v,u,p,t,p
656,n,s,g,e,t,l
657,n,s,g,e,f,n
658,k,n,g,e,t,a
659,k,y,p,e,t,l
660,n,y,u,e,f,n
661,k,s,g,e,t,a
662,k,s,m,e,t,l
663,k,s,g,p,t,p
664,n,s,g,p,t,p
665,n,s,g,e,t,l
666,n,n,m,e,t,a
667,n,s,g,e,t,a
668,n,y,g,e,t,l
669,n,y,p,e,t,l
670,n,n,g,e,t,a
671,k,s,g,e,t,a
672,n,v,u,e,f,n
673,k,a,g,e,f,n
674,u,v,d,e,t,l
675,n,s,p,e,t,l
676,k,y,u,e,f,n
677,n,v,u,e,f,n
678,n,y,g,e,t,l
679,n,y,p,e,t,l
680,k,s,m,e,t,a
681,n,v,d,e,t,l
682,n,n,m,e,t,a
683,u,v,d,e,t,a
684,k,n,g,e,t,a
685,n,v,d,e,t,n
686,k,n,m,e,t,a
687,k,v,u,e,f,n
688,n,s,m,e,t,a
689,k,n,m,e,t,l
690,k,s,g,e,t,a
691,k,s,g,e,t,a
692,k,s,g,e,t,l
693,n,s,p,e,t,a
694,n,a,g,e,f,n
695,n,s,g,p,t,p
696,n,s,g,e,t,a
697,n,s,m,e,t,a
698,k,v,g,p,t,p
699,n,v,u,p,t,p
700,n,a,g,e,f,n
701,k,s,g,p,t,p
702,n,a,g,e,f,n
703,k,s,p,e,t,l
704,k,n,m,e,t,l
705,n,s,p,e,t,l
706,k,y,p,e,t,l
707,k,n,m,e,t,l
708,k,y,u,e,f,n
709,n,n,m,e,t,a
710,k,n,m,e,t,a
711,k,s,p,e,t,a
712,n,a,g,e,f,n
713,n,s,m,e,t,l
714,n,n,g,e,t,l
715,k,s,g,e,t,l
716,n,s,m,e,t,a
717,n,s,m,e,t,l
718,k,s,p,e,t,a
719,n,s,g,e,t,a
720,k,v,u,e,f,n
721,n,s,g,e,t,a
722,k,n,g,e,t,a
723,n,v,d,e,t,l
724,n,a,g,e,f,n
725,k,s,g,e,t,a
726,n,v,g,p,t,p
727,n,n,g,e,t,l
728,n,s,g,e,f,n
729,n,s,m,e,t,a
730,k,s,m,e,t,l
731,k,y,g,e,t,l
732,n,s,g,e,f,n
733,n,s,g,p,t,p
734,k,s,u,p,t,p
735,k,n,g,e,t,l
736,n,s,g,e,t,a
737,n,v,d,e,t,a
738,k,s,u,p,t,p
739,k,s,g,e,t,l
740,k,v,u,e,f,n
741,k,v,u,e,f,n
742,k,s,m,e,t,a
743,k,s,g,e,t,a
744,n,n,m,e,t,a
745,n,s,p,e,t,l
746,n,n,g,e,t,l
747,n,s,g,e,t,l
748,k,s,m,e,t,a
749,n,v,u,p,t,p
750,u,v,d,e,t,a
751,n,s,p,e,t,a
752,n,n,g,e,t,l
753,u,v,d,e,t,a
754,k,s,g,e,t,l
755,n,n,m,e,t,a
756,k,n,g,e,t,a
757,n,y,g,e,t,l
758,n,a,g,e,f,n
759,n,n,m,e,t,a
760,k,y,p,e,t,a
761,n,n,g,e,t,l
762,k,y,g,e,t,l
763,n,n,g,e,t,l
764,n,v,u,e,f,n
765,k,s,p,e,t,l
766,k,a,g,e,f,n
767,n,v,d,e,t,l
768,n,y,u,e,f,n
769,n,s,m,e,t,a
770,k,n,m,e,t,a
771,n,n,g,e,t,a
772,n,s,m,e,t,l
773,k,n,m,e,t,a
774,n,v,d,e,t,a
775,k,a,g,e,f,n
776,n,s,g,e,t,a
777,n,s,u,p,t,p
778,n,y,g,e,t,a
779,n,n,g,e,t,l
780,n,n,m,e,t,l
781,k,s,m,e,t,a
782,k,y,u,e,f,n
783,k,s,m,e,t,l
784,k,s,m,e,t,l
785,k,n,g,e,t,a
786,k,v,g,p,t,p
787,k,v,u,e,f,n
788,n,n,g,e,t,l
789,n,s,g,p,t,p
790,k,y,p,e,t,l
791,n,s,g,e,t,l
792,k,y,p,e,t,l
793,k,n,g,e,t,a
794,n,n,g,e,t,a
795,n,v,g,p,t,p
796,n,s,u,p,t,p
797,k,n,g,e,t,l
798,k,s,g,e,f,n
799,n,v,g,p,t,p
800,n,s,p,e,t,l
801,k,n,m,e,t,a
802,n,n,g,e,t,a
803,n,v,u,p,t,p
804,k,n,g,e,t,l
805,n,n,g,e,t,a
806,k,s,g,e,t,l
807,k,s,g,e,t,a
808,k,y,g,e,t,a
809,n,s,m,e,t,l
810,n,v,d,e,t,l
811,k,n,m,e,t,a
812,k,n,m,e,t,a
813,k,v,u,p,t,p
814,n,v,g,p,t,p
815,k,v,u,p,t,p
816,k,s,m,e,t,a
817,k,y,g,e,t,a
818,k,y,g,e,t,a
819,n,v,d,e,t,a
820,n,n,g,e,t,l
821,n,n,m,e,t,l
822,k,v,u,e,f,n
823,k,s,m,e,t,a
824,n,s,g,e,t,l
825,k,s,p,e,t,a
826,k,s,m,e,t,l
827,n,v,d,e,t,l
828,u,v,d,e,t,a
829,n,s,m,e,t,l
830,u,v,d,e,t,l
831,k,v,u,e,f,n
832,n,v,d,e,t,a
833,k,y,g,e,t,l
834,n,s,g,e,t,l
835,n,y,p,e,t,l
836,n,v,g,p,t,p
837,n,s,m,e,t,l
838,n,s,u,p,t,p
839,k,s,g,e,t,a
840,k,s,g,e,t,a
841,u,v,d,e,t,a
842,n,v,g,p,t,p
843,n,s,g,e,t,a
844,k,y,u,e,f,n
845,k,n,g,e,t,a
846,n,s,g,e,f,n
847,n,s,m,e,t,a
848,n,s,g,e,t,l
849,n,n,m,e,t,l
850,u,v,d,e,t,l
851,n,s,g,e,t,l
852,k,s,g,e,t,a
853,n,y,u,e,f,n
854,n,a,g,e,f,n
855,k,v,u,e,f,n
856,k,s,p,e,t,l
857,u,v,d,e,t,l
858,n,s,g,e,t,a
859,k,n,m,e,t,a
860,k,v,g,p,t,p
861,n,y,p,e,t,l
862,n,s,g,e,t,a
863,n,s,g,e,t,a
864,n,n,g,e,t,a
865,n,s,m,e,t,a
866,k,s,g,e,t,l
867,n,v,u,e,f,n
868,n,y,p,e,t,l
869,n,y,u,e,f,n
870,n,n,g,e,t,l
871,k,y,p,e,t,a
872,n,n,g,e,t,l
873,n,s,m,e,t,a
874,k,v,d,e,t,n
875,n,s,m,e,t,a
876,n,s,p,e,t,l
877,n,n,m,e,t,a
878,k,n,g,e,t,l
879,n,y,g,e,t,l
880,n,n,g,e,t,l
881,n,v,d,e,t,a
882,n,s,g,e,f,n
883,k,n,g,e,t,a
884,k,n,g,e,t,l
885,k,s,g,e,t,l
886,u,v,d,e,t,a
887,n,s,g,e,t,a
888,n,y,g,e,t,a
889,k,y,p,e,t,a
890,n,n,g,e,t,l
891,n,y,d,e,t,n
892,k,y,g,e,t,l
893,k,n,g,e,t,a
894,n,s,m,e,t,a
895,n,s,m,e,t,l
896,n,s,g,e,t,l
897,k,n,g,e,t,a
898,k,n,m,e,t,l
899,k,s,m,e,t,l
900,k,s,g,e,t,l
901,k,y,p,e,t,l
902,n,a,g,e,f,n
903,k,s,g,e,f,n
904,n,s,g,e,f,n
905,n,n,m,e,t,l
906,k,s,g,e,f,n
907,k,s,g,p,t,p
908,n,s,g,e,f,n
909,n,v,u,p,t,p
910,n,v,g,p,t,p
911,k,n,g,e,t,l
912,k,a,g,e,f,n
913,k,n,g,e,t,l
914,k,a,g,e,f,n
915,k,s,g,e,f,n
916,n,n,g,e,t,a
917,n,s,m,e,t,l
918,n,y,d,e,t,n
919,n,a,g,e,f,n
920,k,s,g,e,f,n
921,k,a,g,e,f,n
922,n,a,g,e,f,n
923,k,n,g,e,t,l
924,u,v,d,e,t,l
925,n,s,g,e,f,n
926,n,a,g,e,f,n
927,k,a,g,e,f,n
928,k,s,u,p,t,p
929,n,y,u,e,f,n
930,n,n,m,e,t,a
931,k,a,g,e,f,n
932,n,s,g,e,f,n
933,n,v,g,p,t,p
934,n,s,g,e,t,l
935,k,y,u,e,f,n
936,k,s,g,e,f,n
937,k,n,m,e,t,a
938,k,s,g,e,f,n
939,k,a,g,e,f,n
940,n,y,d,e,t,n
941,n,n,g,e,t,a
942,k,s,g,e,f,n
943,n,s,g,p,t,p
944,n,s,g,e,f,n
945,n,v,d,e,t,n
946,n,a,g,e,f,n
947,k,s,g,e,f,n
948,k,s,g,e,t,l
949,k,a,g,e,f,n
950,n,v,u,p,t,p
951,n,s,u,p,t,p
952,k,s,g,e,t,l
953,n,a,g,e,f,n
954,n,a,g,e,f,n
955,n,s,g,e,f,n
956,k,s,m,e,t,l
957,k,v,u,p,t,p
958,k,v,d,e,t,n
959,u,v,d,e,t,l
960,n,n,m,e,t,l
961,k,a,g,e,f,n
962,k,a,g,e,f,n
963,k,v,d,e,t,n
964,n,y,d,e,t,n
965,k,s,g,e,f,n
966,k,s,g,e,f,n
967,k,s,g,p,t,p
968,k,y,d,e,t,n
969,k,s,g,e,f,n
970,k,s,g,e,f,n
971,n,s,g,e,f,n
972,k,v,d,e,t,n
973,k,v,d,e,t,n
974,k,s,g,e,f,n
975,k,y,d,e,t,n
976,k,s,g,e,f,n
977,k,n,g,e,t,l
978,k,y,d,e,t,n
979,n,s,g,e,t,l
980,k,a,g,e,f,n
981,n,y,d,e,t,n
982,k,s,m,e,t,l
983,k,s,g,e,f,n
984,n,s,g,e,f,n
985,k,s,u,p,t,p
986,n,s,g,e,f,n
987,k,a,g,e,f,n
988,n,a,g,e,f,n
989,k,a,g,e,f,n
990,n,n,g,e,t,l
991,k,n,m,e,t,l
992,k,a,g,e,f,n
993,n,s,g,e,f,n
994,k,v,u,e,f,n
995,k,s,g,e,f,n
