"ID","spore_print_color","population","habitat","edible_or_poisonous","bruises","odor","cap_shape","cap_surface","cap_color","gill_attachment","gill_spacing","gill_size","gill_color","ring_number","ring_type","stalk_root","stalk_surface_above_ring","stalk_surface_below_ring","stalk_color_above_ring","stalk_color_below_ring","stalk_shape","veil_type","veil_color"
20,"brown","scattered","urban","poisonous","TRUE","pungent","convex","smooth","brown","free","close","narrow","black","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
21,"brown","scattered","meadows","edible","TRUE","almond","bell","smooth","yellow","free","close","broad","black","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
22,"brown","several","grasses","poisonous","TRUE","pungent","convex","scaly","brown","free","close","narrow","brown","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
23,"brown","scattered","meadows","edible","TRUE","anise","bell","scaly","yellow","free","close","broad","black","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
24,"brown","numerous","meadows","edible","TRUE","almond","bell","scaly","white","free","close","broad","white","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
25,"black","scattered","meadows","edible","TRUE","anise","bell","smooth","white","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
26,"brown","several","grasses","poisonous","TRUE","pungent","flat","smooth","white","free","close","narrow","brown","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
27,"brown","numerous","meadows","edible","TRUE","almond","convex","scaly","yellow","free","close","broad","brown","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
28,"brown","numerous","meadows","edible","TRUE","anise","convex","scaly","white","free","close","broad","white","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
29,"black","solitary","urban","edible","FALSE","none","flat","fibrous","brown","free","close","narrow","black","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
30,"brown","several","woods","edible","TRUE","almond","convex","smooth","yellow","free","crowded","narrow","brown","1","pendant","bulbous","smooth","smooth","white","white","tapering","partial","white"
31,"brown","numerous","meadows","edible","TRUE","anise","bell","smooth","yellow","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
32,"brown","scattered","urban","poisonous","TRUE","pungent","convex","scaly","white","free","close","narrow","black","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
33,"brown","numerous","meadows","edible","TRUE","anise","convex","scaly","yellow","free","close","broad","brown","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
34,"brown","solitary","paths","edible","TRUE","anise","convex","scaly","brown","free","close","broad","pink","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
35,"brown","scattered","meadows","edible","TRUE","anise","bell","scaly","yellow","free","close","broad","brown","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
36,"brown","several","woods","edible","TRUE","anise","convex","fibrous","yellow","free","crowded","narrow","white","1","pendant","bulbous","smooth","smooth","white","white","tapering","partial","white"
37,"black","several","urban","edible","FALSE","none","sunken","fibrous","gray","free","close","narrow","black","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
38,"brown","scattered","urban","poisonous","TRUE","pungent","convex","scaly","brown","free","close","narrow","white","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
39,"brown","several","woods","edible","TRUE","almond","convex","fibrous","yellow","free","crowded","narrow","pink","1","pendant","bulbous","smooth","smooth","white","white","tapering","partial","white"
40,"black","scattered","meadows","edible","TRUE","anise","bell","smooth","yellow","free","close","broad","black","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
41,"brown","scattered","grasses","edible","TRUE","almond","bell","scaly","yellow","free","close","broad","brown","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
42,"black","solitary","paths","edible","TRUE","anise","convex","scaly","yellow","free","close","broad","brown","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
43,"black","solitary","urban","edible","FALSE","none","convex","fibrous","brown","free","close","narrow","gray","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
44,"brown","several","grasses","poisonous","TRUE","pungent","convex","scaly","white","free","close","narrow","pink","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
45,"black","numerous","meadows","edible","TRUE","almond","convex","smooth","yellow","free","close","broad","white","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
46,"brown","numerous","grasses","edible","TRUE","almond","convex","scaly","white","free","close","broad","brown","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
47,"black","scattered","meadows","edible","TRUE","anise","convex","scaly","yellow","free","close","broad","black","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
48,"brown","numerous","meadows","edible","TRUE","anise","convex","smooth","white","free","close","broad","white","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
49,"brown","scattered","paths","edible","TRUE","anise","convex","scaly","yellow","free","close","broad","brown","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
50,"black","scattered","paths","edible","TRUE","anise","flat","scaly","yellow","free","close","broad","white","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
51,"black","scattered","grasses","edible","TRUE","almond","convex","scaly","brown","free","close","broad","white","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
52,"black","scattered","grasses","edible","TRUE","anise","convex","smooth","white","free","close","broad","black","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
53,"brown","numerous","meadows","edible","TRUE","anise","bell","smooth","white","free","close","broad","black","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
54,"brown","several","urban","poisonous","TRUE","pungent","convex","scaly","brown","free","close","narrow","black","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
55,"black","several","urban","poisonous","TRUE","pungent","convex","smooth","white","free","close","narrow","black","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
56,"black","scattered","meadows","edible","TRUE","almond","bell","scaly","yellow","free","close","broad","white","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
57,"brown","abundant","grasses","edible","FALSE","none","flat","fibrous","gray","free","crowded","broad","brown","1","evanescent","equal","smooth","smooth","white","white","tapering","partial","white"
58,"brown","numerous","grasses","edible","TRUE","almond","bell","smooth","white","free","close","broad","white","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
59,"black","numerous","grasses","edible","TRUE","anise","convex","smooth","yellow","free","close","broad","black","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
60,"black","solitary","paths","edible","TRUE","almond","convex","scaly","brown","free","close","broad","pink","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
61,"brown","several","urban","edible","FALSE","none","sunken","fibrous","gray","free","close","narrow","black","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
62,"brown","scattered","meadows","edible","TRUE","almond","bell","scaly","yellow","free","close","broad","black","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
63,"brown","scattered","meadows","edible","TRUE","anise","bell","smooth","yellow","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
64,"brown","numerous","meadows","edible","TRUE","anise","bell","scaly","yellow","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
65,"brown","scattered","grasses","edible","TRUE","anise","bell","scaly","white","free","close","broad","brown","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
66,"black","abundant","grasses","edible","FALSE","none","flat","smooth","brown","free","crowded","broad","black","1","evanescent","equal","smooth","smooth","white","white","tapering","partial","white"
67,"black","scattered","grasses","edible","TRUE","anise","convex","smooth","white","free","close","broad","brown","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
68,"brown","scattered","grasses","edible","TRUE","almond","flat","scaly","yellow","free","close","broad","white","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
69,"black","numerous","grasses","edible","TRUE","almond","convex","scaly","yellow","free","close","broad","white","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
70,"brown","several","urban","edible","FALSE","none","convex","fibrous","gray","free","close","narrow","pink","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
71,"brown","several","woods","edible","TRUE","anise","flat","fibrous","yellow","free","crowded","narrow","pink","1","pendant","bulbous","smooth","smooth","white","white","tapering","partial","white"
72,"brown","scattered","meadows","edible","TRUE","anise","bell","scaly","white","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
73,"brown","several","woods","edible","TRUE","anise","flat","fibrous","yellow","free","crowded","narrow","white","1","pendant","bulbous","smooth","smooth","white","white","tapering","partial","white"
74,"black","scattered","paths","edible","TRUE","almond","convex","scaly","brown","free","close","broad","pink","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
75,"black","scattered","grasses","edible","TRUE","almond","bell","smooth","yellow","free","close","broad","black","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
76,"brown","several","woods","edible","TRUE","anise","flat","smooth","yellow","free","crowded","narrow","pink","1","pendant","bulbous","smooth","smooth","white","white","tapering","partial","white"
77,"purple","several","woods","edible","TRUE","anise","convex","smooth","white","free","crowded","narrow","brown","1","pendant","bulbous","smooth","smooth","white","white","tapering","partial","white"
78,"brown","solitary","paths","edible","TRUE","anise","flat","scaly","brown","free","close","broad","pink","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
79,"brown","several","urban","poisonous","TRUE","pungent","convex","scaly","brown","free","close","narrow","white","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
80,"brown","solitary","grasses","edible","TRUE","almond","flat","scaly","brown","free","close","broad","brown","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
81,"brown","scattered","grasses","edible","FALSE","none","convex","smooth","brown","free","crowded","broad","black","1","evanescent","equal","fibrous","smooth","white","white","tapering","partial","white"
82,"black","scattered","grasses","poisonous","TRUE","pungent","convex","scaly","white","free","close","narrow","white","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
83,"brown","solitary","urban","edible","FALSE","none","flat","fibrous","gray","free","close","narrow","brown","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
84,"brown","scattered","grasses","edible","FALSE","none","convex","fibrous","gray","free","crowded","broad","brown","1","evanescent","equal","smooth","smooth","white","white","tapering","partial","white"
85,"black","scattered","grasses","edible","TRUE","anise","convex","scaly","yellow","free","close","broad","white","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
86,"black","scattered","grasses","edible","FALSE","none","convex","smooth","brown","free","crowded","broad","black","1","evanescent","equal","smooth","smooth","white","white","tapering","partial","white"
87,"black","scattered","grasses","edible","TRUE","almond","bell","smooth","white","free","close","broad","white","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
88,"brown","scattered","grasses","edible","TRUE","anise","convex","smooth","white","free","close","broad","brown","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
89,"black","solitary","grasses","edible","TRUE","anise","flat","scaly","brown","free","close","broad","white","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
90,"brown","several","urban","edible","FALSE","none","sunken","fibrous","brown","free","close","narrow","brown","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
91,"brown","solitary","urban","edible","FALSE","none","convex","fibrous","brown","free","close","narrow","brown","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
92,"black","scattered","grasses","edible","TRUE","anise","bell","smooth","white","free","close","broad","black","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
93,"black","scattered","grasses","edible","TRUE","almond","convex","scaly","yellow","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
94,"black","numerous","meadows","edible","TRUE","anise","convex","scaly","yellow","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
95,"brown","abundant","grasses","edible","FALSE","none","convex","smooth","brown","free","crowded","broad","brown","1","evanescent","equal","smooth","smooth","white","white","tapering","partial","white"
96,"brown","scattered","grasses","edible","TRUE","almond","convex","smooth","white","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
97,"brown","scattered","grasses","edible","TRUE","anise","flat","scaly","brown","free","close","broad","pink","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
98,"black","numerous","grasses","edible","TRUE","almond","convex","smooth","yellow","free","close","broad","brown","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
99,"brown","scattered","grasses","edible","TRUE","almond","bell","smooth","white","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
100,"black","scattered","grasses","edible","TRUE","almond","convex","scaly","white","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
101,"black","scattered","grasses","edible","FALSE","none","convex","fibrous","brown","free","crowded","broad","pink","1","evanescent","equal","fibrous","smooth","white","white","tapering","partial","white"
102,"black","numerous","grasses","edible","TRUE","anise","bell","smooth","yellow","free","close","broad","brown","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
103,"brown","scattered","grasses","edible","TRUE","anise","flat","scaly","yellow","free","close","broad","white","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
104,"black","solitary","paths","edible","TRUE","almond","convex","scaly","yellow","free","close","broad","brown","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
105,"brown","numerous","grasses","edible","TRUE","anise","bell","scaly","white","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
106,"black","numerous","meadows","edible","TRUE","almond","convex","scaly","yellow","free","close","broad","brown","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
107,"brown","solitary","grasses","edible","TRUE","almond","convex","scaly","yellow","free","close","broad","white","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
108,"black","scattered","meadows","edible","TRUE","anise","bell","scaly","white","free","close","broad","brown","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
109,"brown","scattered","meadows","edible","TRUE","almond","bell","scaly","white","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
110,"black","numerous","meadows","edible","TRUE","almond","convex","smooth","yellow","free","close","broad","black","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
111,"black","numerous","grasses","edible","TRUE","anise","convex","smooth","yellow","free","close","broad","white","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
112,"black","solitary","urban","edible","FALSE","none","sunken","fibrous","gray","free","close","narrow","gray","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
113,"purple","several","woods","edible","TRUE","almond","convex","fibrous","white","free","crowded","narrow","white","1","pendant","bulbous","smooth","smooth","white","white","tapering","partial","white"
114,"black","numerous","meadows","edible","TRUE","almond","convex","smooth","yellow","free","close","broad","brown","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
115,"brown","several","urban","poisonous","TRUE","pungent","convex","scaly","white","free","close","narrow","brown","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
116,"brown","scattered","grasses","edible","TRUE","anise","convex","scaly","yellow","free","close","broad","pink","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
117,"brown","solitary","urban","edible","FALSE","none","sunken","fibrous","gray","free","close","narrow","pink","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
118,"black","solitary","grasses","edible","TRUE","anise","convex","scaly","yellow","free","close","broad","white","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
119,"purple","several","woods","edible","TRUE","anise","convex","smooth","yellow","free","crowded","narrow","pink","1","pendant","bulbous","smooth","smooth","white","white","tapering","partial","white"
120,"brown","solitary","urban","edible","FALSE","none","sunken","fibrous","brown","free","close","narrow","black","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
121,"black","several","grasses","poisonous","TRUE","pungent","convex","smooth","white","free","close","narrow","black","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
122,"brown","numerous","meadows","edible","TRUE","almond","convex","scaly","white","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
123,"black","several","grasses","poisonous","TRUE","pungent","flat","scaly","brown","free","close","narrow","pink","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
124,"brown","abundant","grasses","edible","FALSE","none","flat","smooth","gray","free","crowded","broad","black","1","evanescent","equal","smooth","smooth","white","white","tapering","partial","white"
125,"brown","scattered","meadows","edible","TRUE","anise","convex","smooth","yellow","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
126,"black","scattered","grasses","edible","FALSE","none","convex","smooth","white","free","crowded","broad","brown","1","evanescent","equal","smooth","fibrous","white","white","tapering","partial","white"
127,"brown","numerous","grasses","edible","TRUE","almond","bell","smooth","yellow","free","close","broad","white","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
128,"brown","abundant","grasses","edible","FALSE","none","flat","fibrous","gray","free","crowded","broad","chocolate","1","evanescent","equal","smooth","smooth","white","white","tapering","partial","white"
129,"black","numerous","grasses","edible","TRUE","anise","convex","smooth","white","free","close","broad","brown","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
130,"brown","scattered","meadows","edible","TRUE","anise","bell","smooth","white","free","close","broad","brown","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
131,"brown","scattered","grasses","edible","TRUE","anise","bell","smooth","white","free","close","broad","white","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
132,"brown","scattered","meadows","edible","TRUE","anise","bell","scaly","white","free","close","broad","white","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
133,"purple","several","woods","edible","TRUE","anise","flat","smooth","white","free","crowded","narrow","white","1","pendant","bulbous","smooth","smooth","white","white","tapering","partial","white"
134,"black","scattered","meadows","edible","TRUE","anise","convex","scaly","yellow","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
135,"brown","several","woods","edible","TRUE","almond","flat","smooth","white","free","crowded","narrow","pink","1","pendant","bulbous","smooth","smooth","white","white","tapering","partial","white"
136,"brown","several","urban","poisonous","TRUE","pungent","convex","scaly","white","free","close","narrow","white","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
137,"brown","several","woods","edible","TRUE","anise","flat","fibrous","white","free","crowded","narrow","white","1","pendant","bulbous","smooth","smooth","white","white","tapering","partial","white"
138,"brown","scattered","grasses","edible","TRUE","almond","convex","scaly","yellow","free","close","broad","brown","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
139,"brown","several","grasses","poisonous","TRUE","pungent","convex","smooth","brown","free","close","narrow","pink","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
140,"brown","numerous","grasses","edible","TRUE","anise","bell","smooth","yellow","free","close","broad","white","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
141,"black","solitary","paths","edible","TRUE","almond","convex","scaly","brown","free","close","broad","white","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
142,"black","numerous","meadows","edible","TRUE","anise","bell","scaly","yellow","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
143,"brown","several","urban","edible","FALSE","none","sunken","fibrous","brown","free","close","narrow","black","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
144,"black","solitary","paths","edible","TRUE","almond","flat","scaly","brown","free","close","broad","white","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
145,"black","numerous","grasses","edible","TRUE","almond","convex","scaly","yellow","free","close","broad","black","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
146,"black","scattered","grasses","edible","FALSE","none","convex","fibrous","gray","free","crowded","broad","black","1","evanescent","equal","fibrous","fibrous","white","white","tapering","partial","white"
147,"brown","abundant","grasses","edible","FALSE","none","flat","fibrous","white","free","crowded","broad","black","1","evanescent","equal","smooth","fibrous","white","white","tapering","partial","white"
148,"brown","numerous","meadows","edible","TRUE","anise","convex","scaly","yellow","free","close","broad","white","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
149,"black","numerous","grasses","edible","TRUE","anise","bell","smooth","yellow","free","close","broad","black","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
150,"black","numerous","meadows","edible","TRUE","almond","bell","scaly","white","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
151,"brown","scattered","grasses","edible","TRUE","almond","convex","scaly","white","free","close","broad","white","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
152,"brown","abundant","grasses","edible","FALSE","none","convex","smooth","brown","free","crowded","broad","pink","1","evanescent","equal","fibrous","smooth","white","white","tapering","partial","white"
153,"brown","scattered","grasses","edible","TRUE","anise","convex","scaly","white","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
154,"black","several","urban","edible","FALSE","none","sunken","fibrous","brown","free","close","narrow","black","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
155,"purple","several","woods","edible","TRUE","almond","convex","smooth","white","free","crowded","narrow","white","1","pendant","bulbous","smooth","smooth","white","white","tapering","partial","white"
156,"black","scattered","grasses","edible","TRUE","anise","convex","scaly","brown","free","close","broad","white","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
157,"brown","numerous","grasses","edible","TRUE","almond","bell","scaly","yellow","free","close","broad","black","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
158,"brown","numerous","grasses","edible","TRUE","almond","convex","scaly","white","free","close","broad","black","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
159,"black","scattered","meadows","edible","TRUE","almond","bell","scaly","white","free","close","broad","brown","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
160,"black","scattered","grasses","edible","TRUE","almond","bell","smooth","yellow","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
161,"black","scattered","meadows","edible","TRUE","anise","bell","smooth","yellow","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
162,"black","numerous","grasses","edible","TRUE","almond","bell","scaly","yellow","free","close","broad","brown","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
163,"brown","solitary","urban","edible","FALSE","none","convex","fibrous","brown","free","close","narrow","black","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
164,"brown","solitary","grasses","edible","TRUE","anise","flat","scaly","brown","free","close","broad","brown","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
165,"brown","scattered","grasses","edible","TRUE","almond","convex","scaly","white","free","close","broad","black","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
166,"brown","solitary","paths","edible","TRUE","anise","flat","scaly","yellow","free","close","broad","white","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
167,"brown","scattered","grasses","edible","TRUE","almond","bell","smooth","white","free","close","broad","white","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
168,"black","scattered","meadows","edible","TRUE","almond","bell","smooth","white","free","close","broad","white","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
169,"black","solitary","grasses","edible","TRUE","anise","convex","scaly","brown","free","close","broad","white","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
170,"black","scattered","grasses","edible","TRUE","almond","bell","smooth","white","free","close","broad","black","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
171,"brown","solitary","urban","edible","FALSE","none","convex","fibrous","gray","free","close","narrow","gray","1","pendant","equal","smooth","smooth","white","white","enlarging","partial","white"
172,"brown","scattered","grasses","edible","TRUE","anise","bell","smooth","yellow","free","close","broad","black","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
173,"purple","several","woods","edible","TRUE","anise","convex","fibrous","yellow","free","crowded","narrow","brown","1","pendant","bulbous","smooth","smooth","white","white","tapering","partial","white"
174,"black","scattered","grasses","edible","TRUE","almond","bell","scaly","yellow","free","close","broad","white","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
175,"brown","scattered","grasses","edible","TRUE","anise","flat","scaly","yellow","free","close","broad","pink","1","pendant","rooted","smooth","scaly","white","white","enlarging","partial","white"
176,"black","numerous","meadows","edible","TRUE","anise","bell","scaly","white","free","close","broad","white","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
177,"black","numerous","meadows","edible","TRUE","almond","bell","scaly","white","free","close","broad","black","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
178,"brown","scattered","grasses","edible","TRUE","almond","bell","scaly","yellow","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
179,"brown","numerous","meadows","edible","TRUE","anise","convex","scaly","yellow","free","close","broad","gray","1","pendant","club","smooth","smooth","white","white","enlarging","partial","white"
