ID, stalk root, stalk surface above ring, stalk surface below ring, stalk color above ring, stalk color below ring, stalk shape
143,e,s,s,w,w,e
144,r,s,y,w,w,e
145,c,s,s,w,w,e
146,e,f,f,w,w,t
147,e,s,f,w,w,t
148,c,s,s,w,w,e
149,c,s,s,w,w,e
150,c,s,s,w,w,e
151,c,s,s,w,w,e
152,e,f,s,w,w,t
153,c,s,s,w,w,e
154,e,s,s,w,w,e
155,b,s,s,w,w,t
156,r,s,y,w,w,e
157,c,s,s,w,w,e
158,c,s,s,w,w,e
159,c,s,s,w,w,e
160,c,s,s,w,w,e
161,c,s,s,w,w,e
162,c,s,s,w,w,e
163,e,s,s,w,w,e
164,r,s,y,w,w,e
165,c,s,s,w,w,e
166,r,s,y,w,w,e
167,c,s,s,w,w,e
168,c,s,s,w,w,e
169,r,s,y,w,w,e
170,c,s,s,w,w,e
171,e,s,s,w,w,e
172,c,s,s,w,w,e
173,b,s,s,w,w,t
174,c,s,s,w,w,e
175,r,s,y,w,w,e
176,c,s,s,w,w,e
177,c,s,s,w,w,e
178,c,s,s,w,w,e
179,c,s,s,w,w,e
180,c,s,s,w,w,e
181,e,s,s,w,w,e
182,e,s,s,w,w,e
183,e,s,s,w,w,e
184,c,s,s,w,w,e
185,r,s,y,w,w,e
186,e,s,s,w,w,e
187,c,s,s,w,w,e
188,e,s,s,w,w,e
189,c,s,s,w,w,e
190,r,s,y,w,w,e
191,e,s,f,w,w,t
192,b,s,s,w,w,t
193,c,s,s,w,w,e
194,b,s,s,w,w,t
195,c,s,s,w,w,e
196,e,s,s,w,w,e
197,c,s,s,w,w,e
198,c,s,s,w,w,e
199,c,s,s,w,w,e
200,b,s,s,w,w,t
201,c,s,s,w,w,e
202,c,s,s,w,w,e
203,c,s,s,w,w,e
204,e,f,s,w,w,t
205,r,s,y,w,w,e
206,e,s,s,w,w,e
207,c,s,s,w,w,e
208,c,s,s,w,w,e
209,c,s,s,w,w,e
210,c,s,s,w,w,e
211,c,s,s,w,w,e
212,c,s,s,w,w,e
213,b,s,s,w,w,t
214,e,s,s,w,w,e
215,r,s,y,w,w,e
216,c,s,s,w,w,e
217,c,s,s,w,w,e
218,c,s,s,w,w,e
219,c,s,s,w,w,e
220,e,s,s,w,w,e
221,c,s,s,w,w,e
222,e,s,s,w,w,e
223,r,s,y,w,w,e
224,b,s,s,w,w,t
225,c,s,s,w,w,e
226,c,s,s,w,w,e
227,c,s,s,w,w,e
228,c,s,s,w,w,e
229,e,s,s,w,w,e
230,c,s,s,w,w,e
231,e,s,s,w,w,e
232,e,s,s,w,w,e
233,r,s,y,w,w,e
234,e,s,s,w,w,e
235,c,s,s,w,w,e
236,b,s,s,w,w,t
237,c,s,s,w,w,e
238,c,s,s,w,w,e
239,r,s,y,w,w,e
240,r,s,y,w,w,e
241,r,s,y,w,w,e
242,c,s,s,w,w,e
243,c,s,s,w,w,e
244,e,s,s,w,w,e
245,b,s,s,w,w,t
246,c,s,s,w,w,e
247,b,s,s,w,w,t
248,c,s,s,w,w,e
249,r,s,y,w,w,e
250,e,f,s,w,w,t
251,r,s,y,w,w,e
252,e,s,s,w,w,e
253,e,s,s,w,w,e
254,c,s,s,w,w,e
255,c,s,s,w,w,e
256,c,s,s,w,w,e
257,e,s,s,w,w,e
258,c,s,s,w,w,e
259,c,s,s,w,w,e
260,c,s,s,w,w,e
261,r,s,y,w,w,e
262,e,s,s,w,w,e
263,c,s,s,w,w,e
264,c,s,s,w,w,e
265,b,s,s,w,w,t
266,e,s,s,w,w,e
267,e,s,s,w,w,t
268,c,s,s,w,w,e
269,c,s,s,w,w,e
270,e,s,s,w,w,e
271,c,s,s,w,w,e
272,e,s,s,w,w,e
273,c,s,s,w,w,e
274,c,s,s,w,w,e
275,r,s,y,w,w,e
276,r,s,y,w,w,e
277,r,s,y,w,w,e
278,c,s,s,w,w,e
279,e,s,s,w,w,t
280,c,s,s,w,w,e
281,e,s,s,w,w,e
282,c,s,s,w,w,e
283,e,s,s,w,w,e
284,c,s,s,w,w,e
285,c,s,s,w,w,e
286,r,s,y,w,w,e
287,c,s,s,w,w,e
288,c,s,s,w,w,e
289,r,s,y,w,w,e
290,e,s,s,w,w,e
291,e,s,s,w,w,e
292,c,s,s,w,w,e
293,c,s,s,w,w,e
294,c,s,s,w,w,e
295,c,s,s,w,w,e
296,c,s,s,w,w,e
297,c,s,s,w,w,e
298,e,f,f,w,w,t
299,b,s,s,w,w,t
300,e,s,s,w,w,e
301,e,f,s,w,w,t
302,c,s,s,w,w,e
303,b,s,s,w,w,t
304,c,s,s,w,w,e
305,c,s,s,w,w,e
306,b,s,s,g,p,t
307,c,s,s,w,w,e
308,c,s,s,w,w,e
309,r,s,y,w,w,e
310,e,s,s,w,w,t
311,c,s,s,w,w,e
312,e,s,s,w,w,e
313,c,s,s,w,w,e
314,b,s,s,w,w,t
315,c,s,s,w,w,e
316,e,s,s,w,w,e
317,b,s,s,w,w,t
318,c,s,s,w,w,e
319,b,s,s,w,w,t
320,b,s,s,w,w,t
321,c,s,s,w,w,e
322,b,s,s,w,w,t
323,c,s,s,w,w,e
324,c,s,s,w,w,e
325,r,s,y,w,w,e
326,c,s,s,w,w,e
327,c,s,s,w,w,e
328,e,s,s,w,w,e
329,c,s,s,w,w,e
330,c,s,s,w,w,e
331,e,s,s,w,w,e
332,c,s,s,w,w,e
333,c,s,s,w,w,e
334,c,s,s,w,w,e
335,c,s,s,w,w,e
336,b,s,s,p,w,t
337,r,s,y,w,w,e
338,c,s,s,w,w,e
339,e,s,s,w,w,e
340,r,s,y,w,w,e
341,c,s,s,w,w,e
342,c,s,s,w,w,e
343,c,s,s,w,w,e
344,b,s,s,w,w,t
345,c,s,s,w,w,e
346,e,s,f,w,w,t
347,b,s,s,w,w,t
348,c,s,s,w,w,e
349,e,s,f,w,w,t
350,e,s,s,w,w,e
351,e,f,f,w,w,t
352,r,s,y,w,w,e
353,c,s,s,w,w,e
354,c,s,s,w,w,e
355,r,s,y,w,w,e
356,e,s,s,w,w,e
357,r,s,y,w,w,e
358,e,s,s,w,w,e
359,r,s,y,w,w,e
360,c,s,s,w,w,e
361,e,s,f,w,w,t
362,e,f,f,w,w,t
363,e,f,s,w,w,t
364,r,s,y,w,w,e
365,c,s,s,w,w,e
366,e,s,s,w,w,e
367,r,s,y,w,w,e
368,b,s,s,w,w,t
369,c,s,s,w,w,e
370,e,s,s,w,w,t
371,r,s,y,w,w,e
372,r,s,y,w,w,e
373,c,s,s,w,w,e
374,e,s,s,w,w,e
375,c,s,s,w,w,e
376,c,s,s,w,w,e
377,e,s,s,w,w,e
378,c,s,s,w,w,e
379,c,s,s,w,w,e
380,c,s,s,w,w,e
381,e,s,s,w,w,e
382,e,f,s,w,w,t
383,c,s,s,w,w,e
384,c,s,s,w,w,e
385,b,s,s,g,w,t
386,e,s,s,w,w,e
387,r,s,y,w,w,e
388,e,s,s,w,w,t
389,c,s,s,w,w,e
390,c,s,s,w,w,e
391,c,s,s,w,w,e
392,c,s,s,w,w,e
393,c,s,s,w,w,e
394,e,s,s,w,w,e
395,r,s,y,w,w,e
396,e,f,f,w,w,t
397,c,s,s,w,w,e
398,c,s,s,w,w,e
399,e,s,s,w,w,e
400,e,s,s,w,w,e
401,c,s,s,w,w,e
402,c,s,s,w,w,e
403,e,s,s,w,w,e
404,c,s,s,w,w,e
405,c,s,s,w,w,e
406,c,s,s,w,w,e
407,c,s,s,w,w,e
408,c,s,s,w,w,e
409,c,s,s,w,w,e
410,r,s,y,w,w,e
411,c,s,s,w,w,e
412,e,f,f,w,w,t
413,r,s,y,w,w,e
414,r,s,y,w,w,e
415,e,s,s,w,w,e
416,c,s,s,w,w,e
417,b,s,s,w,w,t
418,e,s,s,w,w,e
419,c,s,s,w,w,e
420,e,f,f,w,w,t
421,c,s,s,w,w,e
422,c,s,s,w,w,e
423,e,s,s,w,w,e
424,r,s,y,w,w,e
425,c,s,s,w,w,e
426,b,s,s,w,w,t
427,r,s,y,w,w,e
428,c,s,s,w,w,e
429,e,f,f,w,w,t
430,e,s,s,w,w,e
431,c,s,s,w,w,e
432,r,s,y,w,w,e
433,c,s,s,w,w,e
434,c,s,s,w,w,e
435,b,s,s,w,w,t
436,c,s,s,w,w,e
437,b,s,s,w,w,t
438,c,s,s,w,w,e
439,c,s,s,w,w,e
440,r,s,y,w,w,e
441,c,s,s,w,w,e
442,c,s,s,w,w,e
443,r,s,y,w,w,e
444,c,s,s,w,w,e
445,c,s,s,w,w,e
446,r,s,y,w,w,e
447,c,s,s,w,w,e
448,r,s,y,w,w,e
449,c,s,s,w,w,e
450,b,s,s,g,p,t
451,c,s,s,w,w,e
452,c,s,s,w,w,e
453,c,s,s,w,w,e
454,b,s,s,w,w,t
455,c,s,s,w,w,e
456,e,s,f,w,w,t
457,c,s,s,w,w,e
458,c,s,s,w,w,e
459,r,s,y,w,w,e
460,r,s,y,w,w,e
461,c,s,s,w,w,e
462,r,s,y,w,w,e
463,c,s,s,w,w,e
464,c,s,s,w,w,e
465,e,s,s,w,w,e
466,r,s,y,w,w,e
467,c,s,s,w,w,e
468,c,s,s,w,w,e
469,c,s,s,w,w,e
470,r,s,y,w,w,e
471,c,s,s,w,w,e
472,c,s,s,w,w,e
473,b,s,s,w,w,t
474,e,s,s,w,w,e
475,b,s,s,w,w,t
476,e,s,s,w,w,e
477,e,s,s,w,w,e
478,c,s,s,w,w,e
479,b,s,s,w,w,t
480,c,s,s,w,w,e
481,c,s,s,w,w,e
482,c,s,s,w,w,e
483,b,s,s,w,w,t
484,e,s,s,w,w,e
485,b,s,s,w,w,t
486,r,s,y,w,w,e
487,c,s,s,w,w,e
488,e,s,s,w,w,e
489,r,s,y,w,w,e
490,r,s,y,w,w,e
491,b,s,s,w,w,t
492,e,s,s,w,w,e
493,e,s,s,w,w,e
494,r,s,y,w,w,e
495,r,s,y,w,w,e
496,c,s,s,w,w,e
497,e,f,s,w,w,t
498,r,s,y,w,w,e
499,c,s,s,w,w,e
500,c,s,s,w,w,e
501,c,s,s,w,w,e
502,c,s,s,w,w,e
503,c,s,s,w,w,e
504,c,s,s,w,w,e
505,c,s,s,w,w,e
506,e,s,s,w,w,e
507,e,s,s,w,w,t
508,e,f,s,w,w,t
509,b,s,s,w,w,t
510,e,s,s,w,w,e
511,e,s,s,w,w,e
512,c,s,s,w,w,e
513,b,s,s,w,w,t
514,e,s,s,w,w,e
515,e,s,s,w,w,e
516,e,f,s,w,w,t
517,r,s,y,w,w,e
518,c,s,s,w,w,e
519,c,s,s,w,w,e
520,c,s,s,w,w,e
521,c,s,s,w,w,e
522,c,s,s,w,w,e
523,r,s,y,w,w,e
524,e,s,s,w,w,e
525,e,s,s,w,w,e
526,c,s,s,w,w,e
527,r,s,y,w,w,e
528,c,s,s,w,w,e
529,e,s,s,w,w,e
530,r,s,y,w,w,e
531,r,s,y,w,w,e
532,c,s,s,w,w,e
533,e,s,s,w,w,e
534,r,s,y,w,w,e
535,e,s,s,w,w,e
536,e,f,s,w,w,t
537,c,s,s,w,w,e
538,e,s,s,w,w,e
539,c,s,s,w,w,e
540,b,s,s,w,w,t
541,c,s,s,w,w,e
542,e,s,f,w,w,t
543,e,s,s,w,w,e
544,r,s,y,w,w,e
545,e,s,s,w,w,t
546,c,s,s,w,w,e
547,c,s,s,w,w,e
548,e,s,s,w,w,e
549,b,s,s,w,w,t
550,c,s,s,w,w,e
551,e,s,s,w,w,e
552,e,f,s,w,w,t
553,r,s,y,w,w,e
554,b,s,s,w,w,t
555,c,s,s,w,w,e
556,r,s,y,w,w,e
557,e,s,s,w,w,e
558,b,s,s,w,w,t
559,c,s,s,w,w,e
560,c,s,s,w,w,e
561,c,s,s,w,w,e
562,b,s,s,w,w,t
563,b,s,s,w,w,t
564,e,f,s,w,w,t
565,c,s,s,w,w,e
566,e,s,s,w,w,e
567,c,s,s,w,w,e
568,e,s,f,w,w,t
569,e,s,s,w,w,e
570,c,s,s,w,w,e
571,c,s,s,w,w,e
572,b,s,s,w,w,t
573,c,s,s,w,w,e
574,c,s,s,w,w,e
575,r,s,y,w,w,e
576,c,s,s,w,w,e
577,e,s,s,w,w,e
578,c,s,s,w,w,e
579,r,s,y,w,w,e
580,e,s,s,w,w,e
581,c,s,s,w,w,e
582,c,s,s,w,w,e
583,c,s,s,w,w,e
584,r,s,y,w,w,e
585,r,s,y,w,w,e
586,c,s,s,w,w,e
587,e,s,s,w,w,e
588,e,s,s,w,w,e
589,e,s,s,w,w,e
590,c,s,s,w,w,e
591,e,s,s,w,w,e
592,e,s,f,w,w,t
593,c,s,s,w,w,e
594,e,s,s,w,w,e
595,c,s,s,w,w,e
596,e,s,s,w,w,e
597,c,s,s,w,w,e
598,c,s,s,w,w,e
599,e,s,s,w,w,e
600,e,s,s,w,w,e
601,e,s,f,w,w,t
602,r,s,y,w,w,e
603,e,f,f,w,w,t
604,r,s,y,w,w,e
605,c,s,s,w,w,e
606,c,s,s,w,w,e
607,e,s,f,w,w,t
608,r,s,y,w,w,e
609,c,s,s,w,w,e
610,e,s,s,w,w,e
611,e,f,s,w,w,t
612,e,s,f,w,w,t
613,e,s,f,w,w,t
614,e,s,s,w,w,e
615,r,s,y,w,w,e
616,c,s,s,w,w,e
617,e,s,s,w,w,t
618,c,s,s,w,w,e
619,c,s,s,w,w,e
620,e,s,s,w,w,e
621,r,s,y,w,w,e
622,c,s,s,w,w,e
623,b,s,s,w,w,t
624,r,s,y,w,w,e
625,e,s,s,w,w,e
626,c,s,s,w,w,e
627,b,s,s,w,w,t
628,e,s,s,w,w,e
629,c,s,s,w,w,e
630,c,s,s,w,w,e
631,e,s,s,w,w,t
632,c,s,s,w,w,e
633,b,s,s,w,g,t
634,r,s,y,w,w,e
635,r,s,y,w,w,e
636,c,s,s,w,w,e
637,r,s,y,w,w,e
638,c,s,s,w,w,e
639,e,s,s,w,w,t
640,c,s,s,w,w,e
641,c,s,s,w,w,e
642,r,s,y,w,w,e
643,r,s,y,w,w,e
644,r,s,y,w,w,e
645,r,s,y,w,w,e
646,b,s,s,w,w,t
647,c,s,s,w,w,e
648,c,s,s,w,w,e
649,c,s,s,w,w,e
650,b,s,s,w,w,t
651,c,s,s,w,w,e
652,c,s,s,w,w,e
653,r,s,y,w,w,e
654,e,s,s,w,w,e
655,e,s,s,w,w,e
656,c,s,s,w,w,e
657,e,s,s,w,w,t
658,c,s,s,w,w,e
659,r,s,y,w,w,e
660,e,s,s,w,w,e
661,c,s,s,w,w,e
662,c,s,s,w,w,e
663,e,s,s,w,w,e
664,e,s,s,w,w,e
665,c,s,s,w,w,e
666,c,s,s,w,w,e
667,r,s,y,w,w,e
668,r,s,y,w,w,e
669,r,s,y,w,w,e
670,c,s,s,w,w,e
671,c,s,s,w,w,e
672,e,s,s,w,w,e
673,e,s,s,w,w,t
674,b,s,s,w,w,t
675,r,s,y,w,w,e
676,e,s,s,w,w,e
677,e,s,s,w,w,e
678,r,s,y,w,w,e
679,r,s,y,w,w,e
680,c,s,s,w,w,e
681,b,s,s,w,w,t
682,c,s,s,w,w,e
683,b,s,s,w,w,t
684,c,s,s,w,w,e
685,b,s,s,p,w,t
686,c,s,s,w,w,e
687,e,s,s,w,w,e
688,c,s,s,w,w,e
689,c,s,s,w,w,e
690,c,s,s,w,w,e
691,c,s,s,w,w,e
692,c,s,s,w,w,e
693,r,s,y,w,w,e
694,e,f,s,w,w,t
695,e,s,s,w,w,e
696,c,s,s,w,w,e
697,c,s,s,w,w,e
698,e,s,s,w,w,e
699,e,s,s,w,w,e
700,e,f,s,w,w,t
701,e,s,s,w,w,e
702,e,s,f,w,w,t
703,r,s,y,w,w,e
704,c,s,s,w,w,e
705,r,s,y,w,w,e
706,r,s,y,w,w,e
707,c,s,s,w,w,e
708,e,s,s,w,w,e
709,c,s,s,w,w,e
710,c,s,s,w,w,e
711,r,s,y,w,w,e
712,e,f,f,w,w,t
713,c,s,s,w,w,e
714,c,s,s,w,w,e
715,c,s,s,w,w,e
716,c,s,s,w,w,e
717,c,s,s,w,w,e
718,r,s,y,w,w,e
719,r,s,y,w,w,e
720,e,s,s,w,w,e
721,r,s,y,w,w,e
722,c,s,s,w,w,e
723,b,s,s,w,w,t
724,e,s,s,w,w,t
725,r,s,y,w,w,e
726,e,s,s,w,w,e
727,c,s,s,w,w,e
728,e,f,s,w,w,t
729,c,s,s,w,w,e
730,c,s,s,w,w,e
731,r,s,y,w,w,e
732,e,f,s,w,w,t
733,e,s,s,w,w,e
734,e,s,s,w,w,e
735,c,s,s,w,w,e
736,c,s,s,w,w,e
737,b,s,s,w,w,t
738,e,s,s,w,w,e
739,c,s,s,w,w,e
740,e,s,s,w,w,e
741,e,s,s,w,w,e
742,c,s,s,w,w,e
743,r,s,y,w,w,e
744,c,s,s,w,w,e
745,r,s,y,w,w,e
746,c,s,s,w,w,e
747,c,s,s,w,w,e
748,c,s,s,w,w,e
749,e,s,s,w,w,e
750,b,s,s,w,w,t
751,r,s,y,w,w,e
752,c,s,s,w,w,e
753,b,s,s,w,w,t
754,c,s,s,w,w,e
755,c,s,s,w,w,e
756,c,s,s,w,w,e
757,r,s,y,w,w,e
758,e,f,f,w,w,t
759,c,s,s,w,w,e
760,r,s,y,w,w,e
761,c,s,s,w,w,e
762,r,s,y,w,w,e
763,c,s,s,w,w,e
764,e,s,s,w,w,e
765,r,s,y,w,w,e
766,e,s,f,w,w,t
767,b,s,s,w,w,t
768,e,s,s,w,w,e
769,c,s,s,w,w,e
770,c,s,s,w,w,e
771,c,s,s,w,w,e
772,c,s,s,w,w,e
773,c,s,s,w,w,e
774,b,s,s,w,w,t
775,e,f,s,w,w,t
776,r,s,y,w,w,e
777,e,s,s,w,w,e
778,r,s,y,w,w,e
779,c,s,s,w,w,e
780,c,s,s,w,w,e
781,c,s,s,w,w,e
782,e,s,s,w,w,e
783,c,s,s,w,w,e
784,c,s,s,w,w,e
785,c,s,s,w,w,e
786,e,s,s,w,w,e
787,e,s,s,w,w,e
788,c,s,s,w,w,e
789,e,s,s,w,w,e
790,r,s,y,w,w,e
791,c,s,s,w,w,e
792,r,s,y,w,w,e
793,c,s,s,w,w,e
794,c,s,s,w,w,e
795,e,s,s,w,w,e
796,e,s,s,w,w,e
797,c,s,s,w,w,e
798,e,f,s,w,w,t
799,e,s,s,w,w,e
800,r,s,y,w,w,e
801,c,s,s,w,w,e
802,c,s,s,w,w,e
803,e,s,s,w,w,e
804,c,s,s,w,w,e
805,c,s,s,w,w,e
806,r,s,y,w,w,e
807,c,s,s,w,w,e
808,r,s,y,w,w,e
809,c,s,s,w,w,e
810,b,s,s,w,w,t
811,c,s,s,w,w,e
812,c,s,s,w,w,e
813,e,s,s,w,w,e
814,e,s,s,w,w,e
815,e,s,s,w,w,e
816,c,s,s,w,w,e
817,r,s,y,w,w,e
818,r,s,y,w,w,e
819,b,s,s,w,w,t
820,c,s,s,w,w,e
821,c,s,s,w,w,e
822,e,s,s,w,w,e
823,c,s,s,w,w,e
824,c,s,s,w,w,e
825,r,s,y,w,w,e
826,c,s,s,w,w,e
827,b,s,s,w,w,t
828,b,s,s,w,w,t
829,c,s,s,w,w,e
830,b,s,s,w,w,t
831,e,s,s,w,w,e
832,b,s,s,w,w,t
833,r,s,y,w,w,e
834,r,s,y,w,w,e
835,r,s,y,w,w,e
836,e,s,s,w,w,e
837,c,s,s,w,w,e
838,e,s,s,w,w,e
839,c,s,s,w,w,e
840,c,s,s,w,w,e
841,b,s,s,w,w,t
842,e,s,s,w,w,e
843,c,s,s,w,w,e
844,e,s,s,w,w,e
845,c,s,s,w,w,e
846,e,s,f,w,w,t
847,c,s,s,w,w,e
848,c,s,s,w,w,e
849,c,s,s,w,w,e
850,b,s,s,w,w,t
851,c,s,s,w,w,e
852,r,s,y,w,w,e
853,e,s,s,w,w,e
854,e,f,s,w,w,t
855,e,s,s,w,w,e
856,r,s,y,w,w,e
857,b,s,s,w,w,t
858,c,s,s,w,w,e
859,c,s,s,w,w,e
860,e,s,s,w,w,e
861,r,s,y,w,w,e
862,c,s,s,w,w,e
863,r,s,y,w,w,e
864,c,s,s,w,w,e
865,c,s,s,w,w,e
866,c,s,s,w,w,e
867,e,s,s,w,w,e
868,r,s,y,w,w,e
869,e,s,s,w,w,e
870,c,s,s,w,w,e
871,r,s,y,w,w,e
872,c,s,s,w,w,e
873,c,s,s,w,w,e
874,b,s,s,g,w,t
875,c,s,s,w,w,e
876,r,s,y,w,w,e
877,c,s,s,w,w,e
878,c,s,s,w,w,e
879,r,s,y,w,w,e
880,c,s,s,w,w,e
881,b,s,s,w,w,t
882,e,s,f,w,w,t
883,c,s,s,w,w,e
884,c,s,s,w,w,e
885,r,s,y,w,w,e
886,b,s,s,w,w,t
887,c,s,s,w,w,e
888,r,s,y,w,w,e
889,r,s,y,w,w,e
890,c,s,s,w,w,e
891,b,s,s,g,p,t
892,r,s,y,w,w,e
893,c,s,s,w,w,e
894,c,s,s,w,w,e
895,c,s,s,w,w,e
896,r,s,y,w,w,e
897,c,s,s,w,w,e
898,c,s,s,w,w,e
899,c,s,s,w,w,e
900,c,s,s,w,w,e
901,r,s,y,w,w,e
902,e,f,f,w,w,t
903,e,f,f,w,w,t
904,e,f,s,w,w,t
905,c,s,s,w,w,e
906,e,f,s,w,w,t
907,e,s,s,w,w,e
908,e,f,f,w,w,t
909,e,s,s,w,w,e
910,e,s,s,w,w,e
911,c,s,s,w,w,e
912,e,f,f,w,w,t
913,c,s,s,w,w,e
914,e,s,s,w,w,t
915,e,s,s,w,w,t
916,c,s,s,w,w,e
917,c,s,s,w,w,e
918,b,s,s,g,w,t
919,e,f,f,w,w,t
920,e,s,f,w,w,t
921,e,f,s,w,w,t
922,e,f,f,w,w,t
923,c,s,s,w,w,e
924,b,s,s,w,w,t
925,e,f,s,w,w,t
926,e,f,s,w,w,t
927,e,f,s,w,w,t
928,e,s,s,w,w,e
929,e,s,s,w,w,e
930,c,s,s,w,w,e
931,e,s,s,w,w,t
932,e,s,f,w,w,t
933,e,s,s,w,w,e
934,c,s,s,w,w,e
935,e,s,s,w,w,e
936,e,s,f,w,w,t
937,c,s,s,w,w,e
938,e,s,s,w,w,t
939,e,f,s,w,w,t
940,b,s,s,g,p,t
941,c,s,s,w,w,e
942,e,f,f,w,w,t
943,e,s,s,w,w,e
944,e,s,s,w,w,t
945,b,s,s,w,g,t
946,e,f,f,w,w,t
947,e,f,f,w,w,t
948,c,s,s,w,w,e
949,e,f,s,w,w,t
950,e,s,s,w,w,e
951,e,s,s,w,w,e
952,c,s,s,w,w,e
953,e,s,f,w,w,t
954,e,s,f,w,w,t
955,e,f,s,w,w,t
956,c,s,s,w,w,e
957,e,s,s,w,w,e
958,b,s,s,p,p,t
959,b,s,s,w,w,t
960,c,s,s,w,w,e
961,e,f,f,w,w,t
962,e,f,s,w,w,t
963,b,s,s,g,p,t
964,b,s,s,p,g,t
965,e,f,f,w,w,t
966,e,s,s,w,w,t
967,e,s,s,w,w,e
968,b,s,s,w,p,t
969,e,f,f,w,w,t
970,e,s,f,w,w,t
971,e,f,s,w,w,t
972,b,s,s,p,w,t
973,b,s,s,p,w,t
974,e,s,f,w,w,t
975,b,s,s,p,w,t
976,e,f,f,w,w,t
977,c,s,s,w,w,e
978,b,s,s,p,p,t
979,c,s,s,w,w,e
980,e,f,f,w,w,t
981,b,s,s,p,p,t
982,c,s,s,w,w,e
983,e,s,s,w,w,t
984,e,s,s,w,w,t
985,e,s,s,w,w,e
986,e,f,f,w,w,t
987,e,f,s,w,w,t
988,e,s,f,w,w,t
989,e,s,f,w,w,t
990,c,s,s,w,w,e
991,c,s,s,w,w,e
992,e,s,f,w,w,t
993,e,f,s,w,w,t
